param#0 	 param#1 	 param#2 	 dist 	  wgt 
2.621157 	0.552517 	5.872511 	0.876447 	0.050000 	
5.214960 	0.377607 	6.119622 	0.932482 	0.050000 	
7.253068 	0.574454 	6.222700 	0.951689 	0.050000 	
7.691599 	3.204595 	5.879002 	0.882711 	0.050000 	
3.183959 	1.994728 	5.607786 	0.823305 	0.050000 	
8.415904 	1.615786 	5.901928 	0.902620 	0.050000 	
4.114807 	1.262935 	5.898310 	0.882897 	0.050000 	
8.438135 	1.729370 	6.093911 	0.911451 	0.050000 	
5.398557 	1.531561 	6.278513 	0.951413 	0.050000 	
4.337788 	1.882055 	5.630046 	0.827584 	0.050000 	
1.775568 	3.452420 	6.068749 	0.981156 	0.050000 	
1.051511 	3.656608 	6.205374 	1.175255 	0.050000 	
2.346608 	1.262531 	5.961299 	0.907384 	0.050000 	
7.154355 	1.343642 	5.770848 	0.853721 	0.050000 	
7.668731 	0.646521 	6.100395 	0.933638 	0.050000 	
1.679838 	2.187122 	6.000128 	0.938073 	0.050000 	
3.430000 	1.141646 	5.751938 	0.845900 	0.050000 	
0.851529 	3.077317 	6.045782 	1.139128 	0.050000 	
5.937602 	2.592335 	5.961051 	0.913546 	0.050000 	
9.971335 	2.205120 	6.191489 	0.956803 	0.050000 	
5.218238 	4.188689 	6.060177 	0.937998 	0.000000 	
15.500169 	2.934049 	6.058946 	0.920250 	0.000000 	
10.408499 	2.641030 	6.048475 	0.947539 	0.000000 	
6.875524 	1.018085 	6.124699 	0.924617 	0.083946 	
3.151735 	0.553708 	5.873369 	0.886813 	0.093332 	
3.149717 	2.631854 	6.181175 	0.940432 	0.083926 	
4.710159 	0.239528 	5.643329 	0.791625 	0.037668 	
8.589538 	2.419858 	5.966002 	0.892991 	0.117469 	
4.662746 	4.184652 	5.541298 	0.866665 	0.000000 	
14.122544 	2.222109 	6.279338 	0.942916 	0.000000 	
-0.804328 	-0.071826 	5.718010 	-1.000000 	0.000000 	
1.022549 	0.326552 	5.989070 	0.912721 	0.167225 	
8.796241 	5.557420 	5.618452 	0.839840 	0.000000 	
11.475904 	2.773167 	5.627230 	0.795706 	0.000000 	
9.739050 	0.034016 	6.181552 	0.942864 	0.144144 	
7.033645 	2.926210 	6.032489 	0.941637 	0.120941 	
-1.710567 	-0.281715 	6.176727 	-1.000000 	0.000000 	
8.149794 	0.690545 	5.853983 	0.869203 	0.097983 	
5.677548 	2.194024 	5.765883 	0.867397 	0.052473 	
7.805063 	1.115770 	5.246151 	0.643084 	0.000893 	
6.449268 	3.002854 	5.932681 	0.896482 	0.112786 	
6.531735 	5.648659 	5.871690 	0.907524 	0.000000 	
7.388308 	1.779093 	5.785625 	0.850816 	0.069622 	
10.065353 	1.744451 	5.911251 	0.930304 	0.000000 	
7.912435 	0.873193 	5.878485 	0.882511 	0.086549 	
4.807647 	0.290166 	5.885088 	0.889450 	0.088974 	
9.545818 	1.846968 	5.763806 	0.839843 	0.080201 	
11.144251 	2.927785 	5.981928 	0.908691 	0.000000 	
-1.568855 	-0.432697 	6.119521 	-1.000000 	0.000000 	
12.112218 	2.318184 	5.840275 	0.873120 	0.000000 	
4.483373 	2.798700 	6.004928 	0.923353 	0.114912 	
16.218921 	2.806519 	5.875206 	0.919340 	0.000000 	
13.551951 	1.253146 	6.010463 	0.904519 	0.000000 	
2.153950 	1.054948 	5.973643 	0.912567 	0.104263 	
7.591307 	0.279157 	5.978986 	0.909425 	0.103021 	
8.573208 	2.416935 	5.878627 	0.902150 	0.097869 	
10.965184 	1.363191 	5.552841 	0.807694 	0.000000 	
8.151958 	4.443178 	5.908567 	0.908404 	0.000000 	
5.904627 	1.311887 	5.829354 	0.874263 	0.071857 	
3.996122 	0.825892 	5.795632 	0.847284 	0.069946 	
7.713431 	3.541955 	5.767020 	0.860696 	0.066973 	
7.179699 	3.686929 	5.810989 	0.854762 	0.073598 	
13.454025 	0.421131 	5.794797 	0.861475 	0.000000 	
8.280804 	2.404245 	5.634359 	0.759012 	0.045664 	
1.583714 	1.741823 	5.732852 	0.853417 	0.088544 	
6.377807 	2.195247 	5.763019 	0.888835 	0.035567 	
7.731874 	2.359596 	5.824276 	0.877293 	0.039002 	
