param#0 	 param#1 	 dist 	  wgt 
1.400644 	0.125932 	0.471767 	0.010000 	
1.342482 	0.175036 	1.097796 	0.010000 	
1.353089 	0.129497 	1.205367 	0.010000 	
1.385744 	0.168684 	1.425413 	0.010000 	
1.334357 	0.132918 	0.927087 	0.010000 	
1.366926 	0.132942 	4.301831 	0.010000 	
1.443167 	0.183199 	1.600231 	0.010000 	
1.325210 	0.129253 	0.871865 	0.010000 	
1.433751 	0.131560 	0.982990 	0.010000 	
1.330144 	0.150548 	1.322299 	0.010000 	
1.320792 	0.177718 	0.978785 	0.010000 	
1.336560 	0.141364 	2.693975 	0.010000 	
1.327609 	0.182181 	12.893217 	0.010000 	
1.372810 	0.123655 	0.808921 	0.010000 	
1.447084 	0.162159 	1.712816 	0.010000 	
1.443822 	0.168397 	1.238162 	0.010000 	
1.442728 	0.193423 	1.078051 	0.010000 	
1.449297 	0.159536 	1.157150 	0.010000 	
1.351108 	0.160474 	0.940182 	0.010000 	
1.347452 	0.165846 	2.460626 	0.010000 	
1.317001 	0.142246 	3.788480 	0.010000 	
1.317201 	0.193093 	30.158130 	0.010000 	
1.385208 	0.179412 	1.450118 	0.010000 	
1.415940 	0.176092 	1.653485 	0.010000 	
1.367268 	0.162041 	1.462927 	0.010000 	
1.427763 	0.181797 	5.603223 	0.010000 	
1.338766 	0.170354 	1.123174 	0.010000 	
1.395263 	0.169186 	0.775372 	0.010000 	
1.439199 	0.172476 	1.551217 	0.010000 	
1.407212 	0.175211 	1.912965 	0.010000 	
1.443426 	0.168408 	1.895369 	0.010000 	
1.432259 	0.159937 	1.983912 	0.010000 	
1.323737 	0.137465 	1.699167 	0.010000 	
1.398169 	0.162956 	1.019908 	0.010000 	
1.413146 	0.142814 	0.998318 	0.010000 	
1.398968 	0.157743 	0.820552 	0.010000 	
1.433817 	0.138156 	0.829034 	0.010000 	
1.421149 	0.125280 	0.620713 	0.010000 	
1.403302 	0.164645 	4.867013 	0.010000 	
1.331706 	0.151690 	1.089291 	0.010000 	
1.388926 	0.186257 	5.906547 	0.010000 	
1.315753 	0.193514 	1.023670 	0.010000 	
1.430961 	0.193154 	2.143626 	0.010000 	
1.341874 	0.189634 	8.927866 	0.010000 	
1.388312 	0.163918 	4.030094 	0.010000 	
1.420138 	0.142471 	0.644520 	0.010000 	
1.406377 	0.173148 	1.153131 	0.010000 	
1.342056 	0.159147 	3.306651 	0.010000 	
1.379183 	0.135453 	1.506201 	0.010000 	
1.320121 	0.165239 	1.464157 	0.010000 	
1.356082 	0.140527 	2.906045 	0.010000 	
1.356356 	0.183788 	13.776943 	0.010000 	
1.392489 	0.131780 	1.812586 	0.010000 	
1.319289 	0.124806 	2.455561 	0.010000 	
1.324095 	0.143894 	1.190463 	0.010000 	
1.366908 	0.189336 	2.369090 	0.010000 	
1.353790 	0.175319 	2.035227 	0.010000 	
1.373486 	0.147626 	0.988960 	0.010000 	
1.357905 	0.181956 	9.213145 	0.010000 	
1.449480 	0.173140 	1.400910 	0.010000 	
1.441320 	0.155396 	2.293348 	0.010000 	
1.404625 	0.139107 	0.617348 	0.010000 	
1.343148 	0.194115 	1.165227 	0.010000 	
1.437897 	0.182362 	2.093676 	0.010000 	
1.374054 	0.131643 	2.682933 	0.010000 	
1.315758 	0.179676 	1.676496 	0.010000 	
1.415145 	0.150548 	1.313001 	0.010000 	
1.418529 	0.194903 	37.320869 	0.010000 	
1.322138 	0.142811 	1.263790 	0.010000 	
1.419501 	0.179506 	0.954756 	0.010000 	
1.323174 	0.176599 	14.005185 	0.010000 	
1.420832 	0.136383 	0.620632 	0.010000 	
1.446636 	0.192343 	3.232275 	0.010000 	
1.376904 	0.165223 	0.772903 	0.010000 	
1.339812 	0.167495 	1.048194 	0.010000 	
1.432850 	0.169822 	1.587983 	0.010000 	
1.320687 	0.152944 	1.012403 	0.010000 	
1.400780 	0.151324 	1.966256 	0.010000 	
1.344382 	0.123631 	1.235291 	0.010000 	
1.432584 	0.180720 	1.577117 	0.010000 	
1.447588 	0.180537 	1.288043 	0.010000 	
1.440785 	0.174882 	3.014713 	0.010000 	
1.387379 	0.185648 	0.830820 	0.010000 	
1.382471 	0.140330 	1.358598 	0.010000 	
1.355782 	0.123868 	1.708468 	0.010000 	
1.327067 	0.183068 	3.789749 	0.010000 	
1.405251 	0.181127 	2.218834 	0.010000 	
1.389022 	0.180938 	1.050620 	0.010000 	
1.359059 	0.181436 	13.064719 	0.010000 	
1.344994 	0.183301 	14.335495 	0.010000 	
1.387760 	0.140054 	0.836063 	0.010000 	
1.391932 	0.154107 	0.843709 	0.010000 	
1.410654 	0.144101 	0.753952 	0.010000 	
1.423806 	0.163663 	0.745067 	0.010000 	
1.373048 	0.121493 	0.942554 	0.010000 	
1.383531 	0.186169 	14.942744 	0.010000 	
1.363561 	0.124292 	1.278406 	0.010000 	
1.413373 	0.186595 	1.214517 	0.010000 	
1.375483 	0.165032 	1.233334 	0.010000 	
1.331758 	0.177925 	3.347816 	0.010000 	
1.368793 	0.177942 	2.429507 	0.021718 	
1.395644 	0.159042 	0.998587 	0.020034 	
1.277564 	0.054462 	0.813085 	0.000000 	
1.334924 	0.158374 	1.328309 	0.024056 	
1.395672 	0.098474 	0.730649 	0.000000 	
1.513658 	0.156843 	1.331504 	0.000000 	
1.527940 	0.172178 	2.213116 	0.000000 	
1.354676 	0.136434 	1.214962 	0.025867 	
1.393192 	0.155143 	1.742664 	0.020251 	
1.463535 	0.169304 	1.633604 	0.000000 	
1.412988 	0.161829 	2.157155 	0.021172 	
1.364453 	0.141866 	2.451490 	0.023118 	
1.509473 	0.233879 	1.818641 	0.000000 	
1.271308 	0.144883 	1.149127 	0.000000 	
1.475701 	0.158773 	1.116850 	0.000000 	
1.424659 	0.197085 	1.954394 	0.000000 	
1.339139 	0.111015 	1.091589 	0.000000 	
1.390959 	0.189538 	1.971373 	0.025252 	
1.376144 	0.194940 	2.141195 	0.028484 	
1.448020 	0.114588 	0.465135 	0.000000 	
1.393819 	0.161268 	1.357136 	0.019875 	
1.332107 	0.074961 	1.212223 	0.000000 	
1.372930 	0.204779 	1.845544 	0.000000 	
1.319392 	0.135031 	2.044489 	0.034559 	
1.366803 	0.224222 	2.222700 	0.000000 	
1.283265 	0.174042 	1.410668 	0.000000 	
1.299402 	0.087071 	1.102081 	0.000000 	
1.291980 	0.195348 	1.093542 	0.000000 	
1.456302 	0.202705 	1.234674 	0.000000 	
1.405956 	0.116180 	0.802504 	0.000000 	
1.495569 	0.116607 	1.013733 	0.000000 	
1.320504 	0.108856 	0.920395 	0.000000 	
1.441600 	0.229907 	1.306517 	0.000000 	
1.454232 	0.154133 	1.129444 	0.031607 	
1.354967 	0.165023 	1.601423 	0.021115 	
1.456991 	0.181020 	1.514113 	0.033977 	
1.348508 	0.108356 	0.764755 	0.000000 	
1.422321 	0.198310 	1.934772 	0.000000 	
1.295338 	0.184302 	1.075865 	0.000000 	
1.421142 	0.152844 	1.389424 	0.023126 	
1.358261 	0.172308 	2.077157 	0.021459 	
1.472410 	0.160701 	1.417701 	0.000000 	
1.328888 	0.206446 	1.098239 	0.000000 	
1.299739 	0.127954 	0.871207 	0.000000 	
1.292004 	0.161640 	2.106663 	0.000000 	
1.397653 	0.162479 	2.394575 	0.020008 	
1.384778 	0.166561 	1.333931 	0.019772 	
1.296023 	0.098039 	0.721756 	0.000000 	
1.485843 	0.122435 	0.976009 	0.000000 	
1.377900 	0.222650 	2.367008 	0.000000 	
1.448444 	0.212611 	2.104469 	0.000000 	
1.470243 	0.152750 	1.202756 	0.000000 	
1.414690 	0.214734 	1.893097 	0.000000 	
1.166240 	0.189741 	1.441586 	0.000000 	
1.367745 	0.235537 	1.082979 	0.000000 	
1.446591 	0.180513 	1.113517 	0.029948 	
1.397725 	0.127011 	1.163553 	0.030554 	
1.271394 	0.151559 	1.212250 	0.000000 	
1.438172 	0.155155 	0.975840 	0.026161 	
1.408747 	0.211935 	1.635714 	0.000000 	
1.436918 	0.141670 	1.068782 	0.030030 	
1.324144 	0.117893 	1.115019 	0.000000 	
1.477239 	0.087260 	0.578260 	0.000000 	
1.326965 	0.176493 	1.050571 	0.027604 	
1.324034 	0.191557 	2.265636 	0.035651 	
1.419196 	0.091671 	0.444940 	0.000000 	
1.312943 	0.166607 	1.796552 	0.000000 	
1.514956 	0.184675 	2.338306 	0.000000 	
1.465136 	0.153826 	1.090118 	0.000000 	
1.343873 	0.128347 	1.576392 	0.031768 	
1.425353 	0.132236 	1.141334 	0.032076 	
1.516046 	0.209805 	2.350932 	0.000000 	
1.253066 	0.175098 	2.092183 	0.000000 	
1.318814 	0.170212 	1.481295 	0.028663 	
1.509011 	0.159588 	1.603932 	0.000000 	
1.405163 	0.218496 	2.045763 	0.000000 	
1.344163 	0.170627 	1.329549 	0.022939 	
1.482696 	0.136724 	0.751640 	0.000000 	
1.420889 	0.164036 	1.848033 	0.022096 	
1.347524 	0.176518 	1.372573 	0.023485 	
1.423662 	0.154106 	1.210129 	0.023317 	
1.462699 	0.179474 	2.273575 	0.000000 	
1.531770 	0.171363 	2.250061 	0.000000 	
1.344701 	0.223206 	1.640823 	0.000000 	
1.343915 	0.130099 	0.899978 	0.030647 	
1.518282 	0.150532 	1.776109 	0.000000 	
1.487967 	0.203940 	1.950984 	0.000000 	
1.340634 	0.157692 	1.807330 	0.023061 	
1.496937 	0.223787 	1.818965 	0.000000 	
1.410753 	0.167973 	1.714103 	0.021041 	
1.387715 	0.211951 	1.140139 	0.000000 	
1.353166 	0.153843 	0.992696 	0.021698 	
