param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.085062 	0.069492 	1.168308 	0.178456 	0.518062 	3.492934 	0.188682 	0.154150 	3.137760 	0.020000 	
0.114923 	0.142740 	1.851082 	0.110574 	0.611391 	3.143346 	0.010198 	0.285261 	3.347174 	0.020000 	
0.028992 	0.301957 	0.887548 	0.261988 	1.511132 	3.975163 	0.162603 	0.104022 	3.873605 	0.020000 	
0.034783 	0.377680 	1.614786 	0.211827 	1.868526 	3.601029 	0.364764 	0.065998 	1.942713 	0.020000 	
0.110620 	0.236029 	1.496021 	0.409470 	1.191391 	3.991289 	0.119670 	0.180094 	3.757330 	0.020000 	
0.069064 	0.342933 	1.990361 	0.292582 	1.682469 	4.446901 	0.350208 	0.087133 	2.990839 	0.020000 	
0.051759 	0.069110 	1.387696 	0.133314 	1.460465 	4.334605 	0.085794 	0.080733 	5.759473 	0.020000 	
0.072326 	0.277056 	1.477189 	0.220490 	0.436663 	3.011200 	0.272192 	0.071039 	2.468480 	0.020000 	
0.181451 	0.402612 	1.926382 	0.156556 	0.937804 	4.339606 	0.002302 	0.144605 	3.150049 	0.020000 	
0.062455 	0.231265 	1.262628 	0.410710 	1.823996 	3.755079 	0.446342 	0.194762 	5.149314 	0.020000 	
0.508246 	0.456538 	1.585914 	0.155915 	0.157632 	3.030820 	0.014661 	0.196245 	7.187353 	0.020000 	
0.859645 	0.167350 	1.709792 	0.100070 	1.316419 	3.254192 	0.032905 	0.271244 	8.925441 	0.020000 	
0.087120 	0.398448 	1.649307 	0.307605 	1.767801 	4.172614 	0.712250 	0.140997 	7.341017 	0.020000 	
0.044440 	0.033749 	0.903811 	0.143997 	1.552220 	3.390035 	0.776157 	0.174552 	3.384712 	0.020000 	
0.028814 	0.374620 	1.260156 	0.183411 	1.851392 	4.611922 	0.480176 	0.111129 	2.970809 	0.020000 	
0.068303 	0.267324 	1.466804 	0.145001 	1.221420 	3.584973 	0.270738 	0.099474 	2.223033 	0.020000 	
0.011412 	0.095125 	1.488761 	0.131372 	1.731103 	3.468344 	0.807160 	0.210363 	4.437857 	0.020000 	
0.028842 	0.114211 	1.848125 	0.445701 	1.844062 	4.041721 	0.469559 	0.118681 	2.241992 	0.020000 	
0.028154 	0.356640 	0.829395 	0.360357 	1.689499 	3.776785 	0.005586 	0.055198 	2.578863 	0.020000 	
0.106249 	0.287222 	1.502640 	0.157230 	0.905837 	4.220687 	0.009174 	0.122305 	2.476521 	0.020000 	
0.017214 	0.549725 	1.170575 	0.166821 	1.590404 	4.932282 	0.060647 	0.186692 	3.385523 	0.020000 	
0.038564 	0.533580 	1.191894 	0.139933 	1.486444 	3.506764 	0.241700 	0.138734 	2.755208 	0.020000 	
0.080984 	0.154783 	1.353217 	0.122249 	0.973656 	4.113588 	0.147838 	0.205006 	3.192211 	0.020000 	
0.043229 	0.776450 	1.617573 	0.114302 	1.965002 	5.608374 	0.039967 	0.031174 	3.106075 	0.020000 	
0.120554 	0.181500 	1.204047 	0.248112 	1.298195 	3.703378 	0.587573 	0.127856 	6.261908 	0.020000 	
0.009304 	0.746250 	1.621230 	0.181996 	0.767135 	3.901680 	0.070204 	0.078036 	4.296462 	0.020000 	
0.027415 	0.018848 	1.780045 	0.297588 	1.131721 	3.005332 	0.029704 	0.074244 	2.283130 	0.020000 	
0.045762 	0.104905 	1.743886 	0.106273 	1.828474 	4.856485 	0.038533 	0.031334 	2.178305 	0.020000 	
