param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.184248 	1.026326 	0.882150 	0.960836 	0.065371 	0.017341 	0.000568 	0.000461 	0.338293 	0.915745 	0.010000 	
0.187126 	1.089837 	1.500488 	0.977366 	0.052196 	0.021690 	0.001804 	0.008630 	0.400375 	0.833967 	0.010000 	
0.247766 	1.008032 	1.229337 	0.327418 	0.088157 	0.015990 	0.005194 	0.000336 	0.386874 	0.718021 	0.010000 	
0.220631 	0.975593 	1.159491 	0.173050 	0.094318 	0.016673 	0.004594 	0.003576 	0.438710 	0.728119 	0.010000 	
0.234808 	0.982488 	1.277749 	0.785168 	0.047895 	0.024959 	0.003690 	0.004029 	0.455815 	0.832407 	0.010000 	
0.165093 	1.045442 	1.558532 	0.481604 	0.050334 	0.018978 	0.001325 	0.007392 	0.462451 	0.674861 	0.010000 	
0.229207 	0.949382 	1.550171 	0.486107 	0.066808 	0.023623 	0.008347 	0.002873 	0.374909 	0.661337 	0.010000 	
0.180797 	1.017871 	1.058630 	0.999168 	0.032360 	0.017392 	0.002318 	0.001347 	0.311380 	0.893719 	0.010000 	
0.233646 	1.046975 	1.628289 	0.484429 	0.042213 	0.017308 	0.006293 	0.007468 	0.309729 	0.642004 	0.010000 	
0.232905 	0.971833 	1.810069 	1.195109 	0.055029 	0.023024 	0.000141 	0.006307 	0.498751 	0.823384 	0.010000 	
0.162884 	0.919289 	1.808469 	0.491898 	0.085651 	0.019117 	0.006773 	0.002328 	0.376598 	0.572157 	0.010000 	
0.169215 	0.926236 	1.689525 	0.337281 	0.039530 	0.015162 	0.009049 	0.002766 	0.312330 	0.591050 	0.010000 	
0.162927 	0.997729 	1.553824 	0.718675 	0.014521 	0.023486 	0.002585 	0.006361 	0.415351 	0.754044 	0.010000 	
0.245618 	0.946115 	1.959883 	0.833545 	0.036314 	0.015904 	0.000214 	0.008676 	0.415905 	0.744294 	0.010000 	
0.241281 	1.017118 	1.224679 	0.756081 	0.001780 	0.015203 	0.006230 	0.007255 	0.333733 	0.895266 	0.010000 	
0.153112 	0.956772 	1.726702 	1.275472 	0.002885 	0.019463 	0.001875 	0.008687 	0.402466 	0.783717 	0.010000 	
0.153562 	0.903257 	1.033389 	1.209119 	0.015632 	0.015155 	0.000061 	0.006821 	0.432921 	0.839631 	0.010000 	
0.150149 	0.963016 	0.986379 	1.293291 	0.049601 	0.022077 	0.002546 	0.002903 	0.426694 	0.873361 	0.010000 	
0.155514 	1.017359 	1.708780 	1.313301 	0.034603 	0.018269 	0.003440 	0.000677 	0.382432 	0.802969 	0.010000 	
0.234471 	0.943301 	1.563501 	0.273931 	0.012263 	0.021608 	0.007190 	0.007847 	0.411718 	0.693706 	0.010000 	
0.150873 	1.085888 	1.363739 	0.692646 	0.098220 	0.015998 	0.007749 	0.003813 	0.322720 	0.712060 	0.010000 	
0.190589 	0.968419 	0.841352 	0.477131 	0.050105 	0.018842 	0.009382 	0.000507 	0.359968 	0.692111 	0.010000 	
0.208147 	0.909848 	1.310818 	0.611279 	0.019757 	0.015627 	0.003113 	0.002747 	0.394287 	0.691647 	0.010000 	
0.164692 	1.003064 	1.176105 	0.225526 	0.014950 	0.023397 	0.001114 	0.003877 	0.406968 	0.663039 	0.010000 	
0.179720 	0.942331 	1.283598 	0.167190 	0.014451 	0.022464 	0.000672 	0.000934 	0.465576 	0.805221 	0.010000 	
0.153514 	1.062481 	1.730470 	1.309720 	0.078104 	0.019499 	0.000766 	0.007967 	0.377718 	0.784189 	0.010000 	
0.204385 	1.006885 	1.214965 	0.886026 	0.021118 	0.024053 	0.006861 	0.002307 	0.335638 	0.843658 	0.010000 	
0.231160 	1.058223 	1.983095 	1.487909 	0.088594 	0.021824 	0.006430 	0.003823 	0.307367 	0.877979 	0.010000 	
0.171194 	0.928306 	1.142466 	0.615965 	0.058041 	0.021837 	0.006176 	0.009673 	0.341269 	0.657184 	0.010000 	
0.162071 	1.032624 	1.013709 	1.375689 	0.079596 	0.017603 	0.008601 	0.000040 	0.338975 	0.962072 	0.010000 	
0.156646 	0.969107 	1.915244 	1.074629 	0.026259 	0.019487 	0.002744 	0.003845 	0.334756 	0.723489 	0.010000 	
0.200477 	0.949585 	0.887587 	1.122375 	0.032721 	0.024736 	0.006589 	0.001809 	0.493563 	0.979662 	0.010000 	
0.229571 	1.050056 	0.930024 	1.377202 	0.037230 	0.016880 	0.004189 	0.004099 	0.347692 	1.285761 	0.010000 	
0.248778 	1.086835 	1.156209 	0.744841 	0.086353 	0.022376 	0.003395 	0.002185 	0.340195 	0.935289 	0.010000 	
0.240283 	0.907327 	1.377388 	0.860842 	0.038118 	0.016731 	0.008957 	0.006360 	0.415429 	0.743851 	0.010000 	
0.168745 	0.985753 	1.413371 	0.625969 	0.049289 	0.019454 	0.003549 	0.004603 	0.321177 	0.617963 	0.010000 	
0.204813 	1.079995 	1.371200 	0.569662 	0.091870 	0.020019 	0.009181 	0.000371 	0.443098 	0.751180 	0.010000 	
0.176917 	0.951769 	1.438291 	0.507722 	0.090223 	0.021778 	0.004851 	0.008373 	0.412908 	0.654296 	0.010000 	
0.216971 	1.019700 	1.313400 	0.596645 	0.074983 	0.024537 	0.004552 	0.009531 	0.465321 	0.765384 	0.010000 	
0.189908 	1.056317 	1.321900 	0.725843 	0.071190 	0.021207 	0.003821 	0.004504 	0.429501 	0.787382 	0.010000 	
0.150357 	0.929215 	0.830950 	0.575506 	0.080705 	0.021870 	0.005535 	0.007263 	0.444781 	0.678201 	0.010000 	
0.233293 	0.915187 	1.670490 	1.350644 	0.074356 	0.015949 	0.007549 	0.000317 	0.310288 	0.787166 	0.010000 	
0.210686 	1.077241 	1.264161 	0.892448 	0.092846 	0.017231 	0.008474 	0.002527 	0.396738 	0.871024 	0.010000 	
0.246069 	0.907679 	0.897207 	0.514452 	0.024387 	0.019442 	0.009554 	0.002652 	0.404568 	0.729776 	0.010000 	
0.176352 	1.057041 	1.021428 	1.424970 	0.030546 	0.022497 	0.000094 	0.007705 	0.482812 	1.102569 	0.010000 	
