DateTime,GWYNNS_Discharge,Carrie_Precipitation,Carroll_Precipitation,DeadRun_Precipitation,Glyndon_Precipitation,Gwynns_Precipitation,McDonogh_Precipitation,Oregon_Precipitation,UMBC_Precipitation,LEA1_SoilMoisture_Port1,LEA1_SoilMoisture_Port2,LEA1_SoilMoisture_Port3,LEA1_SoilMoisture_Port4,LEA1_SoilMoisture_Port5,LEA2_SoilMoisture_Port1,LEA2_SoilMoisture_Port2,LEA2_SoilMoisture_Port3,LEA2_SoilMoisture_Port4,LEA2_SoilMoisture_Port5,ORLR_SoilMoisture_Port1,ORLR_SoilMoisture_Port2,ORLR_SoilMoisture_Port3,ORLR_SoilMoisture_Port4,ORLR_SoilMoisture_Port5,ORU1_SoilMoisture_Port1,ORU1_SoilMoisture_Port2,ORU1_SoilMoisture_Port3,ORU1_SoilMoisture_Port4,ORU1_SoilMoisture_Port5,ORU2_SoilMoisture_Port1,ORU2_SoilMoisture_Port2,ORU2_SoilMoisture_Port3,ORU2_SoilMoisture_Port4,ORU2_SoilMoisture_Port5,ORUR_SoilMoisture_Port1,ORUR_SoilMoisture_Port2,ORUR_SoilMoisture_Port3,ORUR_SoilMoisture_Port4,ORUR_SoilMoisture_Port5,UMBC1_SoilMoisture_Port1,UMBC1_SoilMoisture_Port2,UMBC1_SoilMoisture_Port3,UMBC1_SoilMoisture_Port4,UMBC1_SoilMoisture_Port5,UMBC2_SoilMoisture_Port1,UMBC2_SoilMoisture_Port2,UMBC2_SoilMoisture_Port3,UMBC2_SoilMoisture_Port4,UMBC2_SoilMoisture_Port5,LEA1_SoilTemperature_Port1,LEA1_SoilTemperature_Port2,LEA1_SoilTemperature_Port3,LEA1_SoilTemperature_Port4,LEA1_SoilTemperature_Port5,LEA2_SoilTemperature_Port1,LEA2_SoilTemperature_Port2,LEA2_SoilTemperature_Port3,LEA2_SoilTemperature_Port4,LEA2_SoilTemperature_Port5,ORLR_SoilTemperature_Port1,ORLR_SoilTemperature_Port2,ORLR_SoilTemperature_Port3,ORLR_SoilTemperature_Port4,ORLR_SoilTemperature_Port5,ORU1_SoilTemperature_Port1,ORU1_SoilTemperature_Port2,ORU1_SoilTemperature_Port3,ORU1_SoilTemperature_Port4,ORU1_SoilTemperature_Port5,ORU2_SoilTemperature_Port1,ORU2_SoilTemperature_Port2,ORU2_SoilTemperature_Port3,ORU2_SoilTemperature_Port4,ORU2_SoilTemperature_Port5,ORUR_SoilTemperature_Port1,ORUR_SoilTemperature_Port2,ORUR_SoilTemperature_Port3,ORUR_SoilTemperature_Port4,ORUR_SoilTemperature_Port5,UMBC1_SoilTemperature_Port1,UMBC1_SoilTemperature_Port2,UMBC1_SoilTemperature_Port3,UMBC1_SoilTemperature_Port4,UMBC1_SoilTemperature_Port5,UMBC2_SoilTemperature_Port1,UMBC2_SoilTemperature_Port2,UMBC2_SoilTemperature_Port3,UMBC2_SoilTemperature_Port4,UMBC2_SoilTemperature_Port5,BARN_Isotope_d15N-NO3_discharge,BARN_Isotope_d18O-NO3_discharge,GFGL_Isotope_d15N-NO3_discharge,GFGL_Isotope_d18O-NO3_discharge,POBR_Isotope_d15N-NO3_discharge,POBR_Isotope_d18O-NO3_discharge,GFCP_Isotope_d15N-NO3_discharge,GFCP_Isotope_d18O-NO3_discharge,MCDN_Isotope_d15N-NO3_discharge,MCDN_Isotope_d18O-NO3_discharge,DRKR_Isotope_d15N-NO3_discharge,DRKR_Isotope_d18O-NO3_discharge,GFUGR_Isotope_d15N-NO3_discharge,GFUGR_Isotope_d18O-NO3_discharge,GRGF_Isotope_d15N-NO3_discharge,GRGF_Isotope_d18O-NO3_discharge,RGHT_Isotope_d15N-NO3_discharge,RGHT_Isotope_d18O-NO3_discharge,RGHTISCO_Isotope_d15N-NO3_discharge,RGHTISCO_Isotope_d18O-NO3_discharge,GFGR_Isotope_d15N-NO3_discharge,GFGR_Isotope_d18O-NO3_discharge
2005-07-06,5377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.565,0.39,12.97,3.413320272,-12.86,-7.451037831,7.525,12.97788691,7.671990892,5.422805548,,,,,,,,,,,,
2005-07-07,1174.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-08,41601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-09,2745.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-10,1344.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-11,982.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-12,713.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.655,0.49,14.94455673,4.964484593,3.44,1.436647941,9.55,1.6,7.560860837999999,5.794384888,,,,,,,,,,,,
2005-07-13,2156.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-14,2102.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-15,2320.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-16,12395.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-17,4046.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-18,1301.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-19,984.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,0.225,14.37,3.21,0.99,-3.384972701,7.47,8.99,7.567736954,4.990669113,7.16,14.34489226,6.46,0.0,12.25032123,3.368324353,,,,,,
2005-07-20,911.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
