DateTime,SCNFM_Discharge,BartlettDam_Precipitation,FountainHills_Precipitation,MormonFlat_Precipitation,PunkinCtr_Precipitation,StewartMtn_Precipitation,Sunflower3NNW_Precipitation
1960-10-01,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-02,0.0,0.0,,0.0,0.0,2.0,0.0
1960-10-03,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-04,0.0,0.0,,0.0,32.0,0.0,0.0
1960-10-05,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-06,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-07,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-08,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-09,0.0,0.0,,51.0,81.0,39.0,54.0
1960-10-10,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-11,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-12,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-13,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-14,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-15,0.0,29.0,,174.0,0.0,127.0,0.0
1960-10-16,0.0,14.0,,5.0,92.0,21.0,120.0
1960-10-17,0.0,2.0,,7.0,13.0,0.0,25.0
1960-10-18,0.0,19.0,,18.0,91.0,22.0,57.0
1960-10-19,0.0,1.0,,0.0,0.0,0.0,0.0
1960-10-20,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-21,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-22,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-23,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-24,0.0,0.0,,0.0,6.0,0.0,6.0
1960-10-25,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-26,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-27,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-28,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-29,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-30,0.0,0.0,,0.0,0.0,0.0,0.0
1960-10-31,0.0,0.0,,0.0,0.0,0.0,0.0
1960-11-01,0.0,0.0,,0.0,0.0,0.0,0.0
1960-11-02,0.0,0.0,,0.0,0.0,0.0,0.0
1960-11-03,0.0,0.0,,0.0,0.0,0.0,0.0
1960-11-04,0.0,0.0,,0.0,0.0,0.0,0.0
1960-11-05,0.0,10.0,,15.0,9.0,0.0,11.0
1960-11-06,0.0,14.0,,0.0,1.0,0.0,10.0
