param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.277441 	0.266894 	1.874987 	0.943547 	0.886429 	3.674476 	0.669631 	0.034501 	8.381516 	0.002000 	
0.131529 	0.511213 	1.977537 	0.248826 	1.526880 	3.840110 	1.602256 	0.083961 	2.179247 	0.002000 	
0.083431 	0.716009 	1.759228 	0.164182 	1.164854 	3.296667 	1.853259 	0.148237 	1.665363 	0.002000 	
0.255126 	0.135776 	1.466379 	0.204188 	1.679155 	3.517398 	0.292067 	0.251334 	2.665773 	0.002000 	
0.284166 	0.619864 	1.325420 	0.171103 	0.419895 	3.169007 	1.704719 	0.058481 	3.967436 	0.002000 	
0.071761 	0.056080 	1.829077 	0.359264 	0.639937 	5.718842 	0.519737 	0.029887 	0.992860 	0.002000 	
0.347411 	0.088248 	0.844933 	0.150631 	1.325061 	4.605481 	1.038184 	0.206751 	4.072145 	0.002000 	
0.162596 	0.334767 	1.988851 	0.227271 	1.303907 	5.905931 	0.037034 	0.122036 	4.883382 	0.002000 	
0.179395 	0.020241 	1.901088 	0.227487 	1.993751 	3.388081 	0.909559 	0.176476 	1.595220 	0.002000 	
0.041353 	0.588422 	1.487818 	0.175531 	1.725746 	3.788811 	0.863910 	0.066320 	1.088836 	0.002000 	
0.215523 	0.865548 	1.994650 	0.352013 	1.454183 	5.451279 	1.444075 	0.060588 	8.979676 	0.002000 	
0.060290 	0.379878 	1.948301 	0.702772 	1.382125 	3.419688 	0.268710 	0.164242 	0.983863 	0.002000 	
1.346404 	0.071978 	1.322858 	0.101724 	1.007338 	3.277167 	1.973059 	0.286306 	6.402580 	0.002000 	
0.180375 	0.822733 	1.446429 	0.136656 	0.954313 	3.940115 	1.141081 	0.102817 	3.981193 	0.002000 	
0.664314 	0.077211 	1.770715 	0.481815 	0.336915 	4.762072 	0.974246 	0.169328 	9.323579 	0.002000 	
0.679227 	0.215873 	0.850849 	0.110294 	0.322036 	3.722038 	1.909319 	0.189475 	8.582229 	0.002000 	
0.143345 	0.451057 	1.720424 	0.359142 	1.101595 	5.955154 	1.198223 	0.164170 	1.944827 	0.002000 	
0.351086 	0.044641 	0.982942 	0.200920 	1.105789 	5.307479 	0.642186 	0.276768 	1.875164 	0.002000 	
0.359706 	0.174571 	1.423907 	0.209937 	1.037158 	4.449810 	1.004592 	0.222590 	6.280922 	0.002000 	
0.073252 	0.586380 	1.741487 	0.116116 	1.501253 	5.897032 	0.966988 	0.174002 	1.359935 	0.002000 	
0.229570 	0.753145 	1.420419 	0.129311 	0.623048 	3.321673 	1.379044 	0.004893 	3.298422 	0.002000 	
0.149552 	0.695938 	1.902067 	0.166682 	1.927229 	3.961969 	1.619183 	0.271144 	5.268876 	0.002000 	
0.086460 	0.580562 	1.204953 	0.335924 	1.726154 	5.324358 	1.657755 	0.107961 	1.604114 	0.002000 	
0.129337 	0.307423 	1.916806 	0.317635 	1.929402 	5.679073 	0.625549 	0.183659 	1.748904 	0.002000 	
0.070915 	0.278257 	1.342986 	0.384445 	1.359865 	5.503698 	1.048339 	0.140669 	2.010671 	0.002000 	
