param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
1.929061 	8.346374 	25298.740827 	0.001642 	0.004138 	0.000008 	1.251433 	0.010000 	
1.533027 	6.650076 	27425.479598 	0.000810 	0.003560 	0.000006 	1.601376 	0.010000 	
0.698648 	3.734140 	27475.950351 	0.004948 	0.004656 	0.000004 	1.760421 	0.010000 	
1.948891 	8.570909 	25213.166253 	0.001158 	0.002148 	0.000008 	1.200806 	0.010000 	
0.888411 	6.645746 	29774.590027 	0.004517 	0.002397 	0.000001 	1.950310 	0.010000 	
0.469201 	4.871446 	26995.282165 	0.001570 	0.004830 	0.000005 	1.878516 	0.010000 	
0.746552 	3.207271 	26947.841417 	0.004281 	0.000922 	0.000001 	1.661957 	0.010000 	
0.603221 	5.382965 	25991.537120 	0.003902 	0.003570 	0.000000 	1.739416 	0.010000 	
1.883242 	6.337109 	26992.692916 	0.001069 	0.002855 	0.000001 	1.483319 	0.010000 	
1.390231 	8.467673 	26272.249427 	0.003550 	0.004065 	0.000003 	1.429253 	0.010000 	
0.970789 	8.348753 	26909.011040 	0.004237 	0.003365 	0.000009 	1.543390 	0.010000 	
1.760648 	1.888732 	27183.565979 	0.004241 	0.000555 	0.000004 	1.520246 	0.010000 	
0.084857 	8.795233 	28038.446314 	0.002570 	0.003489 	0.000004 	8.868842 	0.010000 	
0.850829 	7.391544 	27381.663191 	0.002736 	0.004268 	0.000009 	1.689620 	0.010000 	
1.392256 	5.581012 	27261.628542 	0.001388 	0.002027 	0.000003 	1.550276 	0.010000 	
1.680058 	9.351036 	28486.739641 	0.000568 	0.004444 	0.000005 	1.681597 	0.010000 	
1.393678 	3.212974 	29412.732882 	0.002857 	0.004815 	0.000005 	2.206648 	0.010000 	
1.414472 	8.878383 	29079.893112 	0.003335 	0.003899 	0.000005 	1.918857 	0.010000 	
0.471776 	6.129339 	25014.091609 	0.000148 	0.000571 	0.000005 	1.608955 	0.010000 	
0.713726 	3.243988 	28543.603403 	0.001573 	0.003958 	0.000004 	1.990281 	0.010000 	
0.537152 	1.065481 	26051.273913 	0.004899 	0.000059 	0.000002 	1.659716 	0.010000 	
0.428877 	9.586878 	30062.869139 	0.000931 	0.000666 	0.000003 	2.716970 	0.010000 	
0.308623 	4.975492 	30424.937646 	0.003122 	0.003427 	0.000002 	3.221342 	0.010000 	
0.482631 	2.114057 	26959.245500 	0.004666 	0.002276 	0.000007 	1.933294 	0.010000 	
1.778842 	0.179939 	27028.586146 	0.003857 	0.002012 	0.000005 	1.504406 	0.010000 	
0.903631 	2.454460 	25385.322761 	0.001998 	0.004957 	0.000002 	1.356105 	0.010000 	
0.141868 	6.436956 	28611.364430 	0.004554 	0.001025 	0.000006 	4.646350 	0.010000 	
1.744079 	7.705662 	27298.656506 	0.003747 	0.000228 	0.000006 	1.505882 	0.010000 	
1.904857 	2.788148 	24711.896020 	0.003181 	0.001516 	0.000009 	1.161807 	0.010000 	
1.535211 	1.187229 	29953.644585 	0.003918 	0.004362 	0.000010 	1.912405 	0.010000 	
0.428837 	2.171592 	25629.244455 	0.004802 	0.001586 	0.000000 	1.737488 	0.010000 	
1.803188 	6.899829 	28843.998776 	0.003271 	0.001003 	0.000004 	1.625582 	0.010000 	
1.913699 	6.124601 	27843.511653 	0.003232 	0.001413 	0.000003 	1.548979 	0.010000 	
0.526866 	6.457672 	27280.892975 	0.001987 	0.004006 	0.000004 	1.996572 	0.010000 	
0.517692 	6.679749 	27588.538114 	0.000365 	0.003795 	0.000003 	2.043752 	0.010000 	
0.804315 	2.925965 	30389.064072 	0.000887 	0.003380 	0.000009 	2.262725 	0.010000 	
1.098621 	4.191558 	27504.434967 	0.002418 	0.001198 	0.000005 	1.632035 	0.010000 	
0.225487 	3.063806 	23902.686085 	0.004343 	0.004254 	0.000005 	2.065112 	0.010000 	
0.300806 	4.531932 	28709.358002 	0.002752 	0.002029 	0.000008 	2.698421 	0.010000 	
0.472068 	6.433551 	28306.647150 	0.000667 	0.000611 	0.000000 	2.162134 	0.010000 	
0.586111 	8.909146 	27565.076058 	0.000098 	0.000646 	0.000005 	1.877402 	0.010000 	
1.124627 	0.661165 	29764.483263 	0.002092 	0.003616 	0.000003 	1.975437 	0.010000 	
1.079367 	5.619315 	27066.979317 	0.002260 	0.002136 	0.000004 	1.638634 	0.010000 	
1.260522 	9.024962 	29224.513958 	0.004064 	0.004525 	0.000007 	1.836286 	0.010000 	
