DateTime,NelsonWeir_Discharge,BigelowLower_Discharge,BigelowUpper_Discharge,HF001_Precipitation,HF001_AirTemperature,STAHQ_WindDirection,STAHQ_WindSpeed,STAHQ_VaporPressure
2007-12-21,1.21,2.48,0.64,0.0,-5.5,306.8,0.0,0.38
2007-12-22,1.19,2.46,0.64,0.0,-3.0,279.9,0.0,0.36
2007-12-23,5.16,4.75,2.52,17.8,5.3,285.8,40.09,0.71
2007-12-24,21.62,30.91,7.59,0.0,0.8,269.5,61.17,0.53
2007-12-25,11.89,12.27,1.67,0.0,-1.2,309.0,82.25,0.58
2007-12-26,8.37,7.31,1.29,0.0,-1.7,227.2,42.85,0.52
2007-12-27,6.44,6.19,1.17,7.9,-0.5,316.3,14.0,0.53
2007-12-28,6.36,5.94,1.4,0.0,0.7,236.9,40.52,0.57
2007-12-29,10.13,10.47,2.65,5.3,2.2,342.7,43.29,0.66
2007-12-30,9.04,10.86,1.78,2.3,0.0,234.8,57.72,0.63
2007-12-31,7.14,8.3,1.42,11.4,-2.0,293.9,43.72,0.49
2008-01-01,5.81,6.84,1.26,6.3,-3.6,309.3,19.61,0.36
2008-01-02,4.93,6.19,1.17,0.0,-8.3,17.6,88.91,0.19
2008-01-03,4.27,5.4,1.2,0.0,-16.8,31.5,69.945,0.11
2008-01-04,3.85,5.26,1.25,0.0,-10.8,266.6,50.98,0.22
2008-01-05,3.04,4.69,1.2,0.0,-2.6,336.7,40.09,0.41
2008-01-06,2.9,4.7,1.09,0.0,1.9,241.5,32.75,0.57
2008-01-07,3.54,5.16,1.25,0.0,6.0,321.5,36.03,0.76
2008-01-08,7.27,8.09,2.65,0.0,10.5,291.7,61.69,0.81
2008-01-09,22.67,33.52,8.85,0.5,8.9,8.9,88.56,0.51
2008-01-10,20.66,28.54,3.73,0.0,1.9,214.5,78.97,0.62
2008-01-11,26.67,30.9,9.97,23.1,1.5,30.4,37.41,0.53
2008-01-12,28.38,42.2,5.76,0.0,1.1,262.7,71.8,0.64
2008-01-13,20.24,20.84,3.19,0.0,0.0,284.8,57.89,0.6
2008-01-14,15.47,16.64,2.74,24.4,-2.8,285.1,43.2,0.5
2008-01-15,11.88,13.73,2.48,0.3,-4.5,316.5,42.04666666666667,0.37
2008-01-16,9.81,12.13,2.3,0.0,-6.4,288.3,40.89333333333335,0.35
2008-01-17,7.95,10.44,2.18,0.5,-6.2,292.6,39.74,0.39
2008-01-18,10.79,14.65,3.86,12.2,-0.1,343.4,92.19,0.46
2008-01-19,11.13,17.14,3.12,0.0,-4.3,60.5,54.86,0.4
2008-01-20,8.8,12.43,2.5,0.0,-9.3,0.6,91.15,0.16
2008-01-21,7.16,9.87,2.27,0.0,-12.1,53.5,83.38,0.22
2008-01-22,6.32,9.18,2.28,0.3,-5.0,34.9,32.31,0.26
2008-01-23,5.14,9.06,2.19,0.0,-4.0,251.8,76.2,0.33
2008-01-24,4.7,8.57,2.11,0.0,-7.7,217.1,55.47,0.22
2008-01-25,4.21,7.57,2.08,0.0,-9.2,268.7,82.43,0.2
2008-01-26,3.92,7.18,2.05,0.0,-6.7,84.5,56.25,0.34
2008-01-27,3.55,7.15,2.03,0.3,-5.4,244.1,40.69,0.39
2008-01-28,3.45,6.94,2.02,0.0,-3.9,270.4,38.015,0.37
2008-01-29,3.38,6.8,1.98,0.0,-1.3,315.9,35.34,0.42
2008-01-30,4.46,8.82,2.51,4.6,0.3,29.6,75.25,0.37
2008-01-31,5.06,8.94,2.28,0.0,-5.2,108.2,71.19,0.32
2008-02-01,5.2,8.91,2.55,33.8,-2.3,264.9,63.59,0.49
2008-02-02,20.8,32.12,8.89,0.0,0.9,261.7,85.19,0.59
2008-02-03,14.78,19.79,3.52,0.0,0.6,229.7,38.71,0.52
