param#0 	 param#1 	 dist 	  wgt 
1.288954 	0.133163 	0.943922 	0.010000 	
1.365235 	0.181773 	4.825300 	0.010000 	
1.233269 	0.179235 	1.700085 	0.010000 	
1.091786 	0.151387 	1.288854 	0.010000 	
1.161802 	0.132981 	1.316628 	0.010000 	
1.098465 	0.190571 	1.623415 	0.010000 	
1.095662 	0.192773 	1.448782 	0.010000 	
1.265262 	0.176582 	10.407397 	0.010000 	
1.161635 	0.148290 	1.453067 	0.010000 	
1.245375 	0.140119 	3.125268 	0.010000 	
1.410993 	0.134451 	2.019740 	0.010000 	
1.059811 	0.173465 	1.475478 	0.010000 	
1.162317 	0.157442 	1.517179 	0.010000 	
1.105109 	0.139990 	1.318423 	0.010000 	
1.451745 	0.169544 	0.931462 	0.010000 	
1.235150 	0.139524 	1.119222 	0.010000 	
1.237869 	0.192307 	1.321000 	0.010000 	
1.448282 	0.161493 	1.020041 	0.010000 	
1.127293 	0.136795 	1.513034 	0.010000 	
1.422697 	0.144857 	0.822892 	0.010000 	
1.286956 	0.158243 	2.125672 	0.010000 	
1.441915 	0.180994 	1.203120 	0.010000 	
1.334188 	0.191409 	3.337146 	0.010000 	
1.064603 	0.152980 	5.306023 	0.010000 	
1.422218 	0.194360 	2.006671 	0.010000 	
1.212884 	0.176710 	7.054947 	0.010000 	
1.398599 	0.171987 	1.475251 	0.010000 	
1.336274 	0.131846 	1.437116 	0.010000 	
1.395515 	0.146290 	6.775671 	0.010000 	
1.388517 	0.134390 	0.819794 	0.010000 	
1.409018 	0.166915 	1.530462 	0.010000 	
1.317354 	0.152631 	2.216992 	0.010000 	
1.111459 	0.139288 	1.424019 	0.010000 	
1.251384 	0.180698 	1.245249 	0.010000 	
1.052794 	0.189670 	1.459440 	0.010000 	
1.413460 	0.130032 	0.858091 	0.010000 	
1.453049 	0.158516 	0.977964 	0.010000 	
1.359036 	0.169774 	2.196901 	0.010000 	
1.271266 	0.157236 	1.158018 	0.010000 	
1.256378 	0.132089 	1.811001 	0.010000 	
1.184762 	0.192178 	1.370078 	0.010000 	
1.083614 	0.120660 	1.525631 	0.010000 	
1.298406 	0.176211 	8.958252 	0.010000 	
1.221364 	0.146140 	1.115611 	0.010000 	
1.374823 	0.181015 	2.437623 	0.010000 	
1.236363 	0.181482 	3.913589 	0.010000 	
1.131356 	0.176488 	1.452159 	0.010000 	
1.233449 	0.144456 	1.893885 	0.010000 	
1.331186 	0.128881 	3.341415 	0.010000 	
1.443861 	0.164861 	1.257820 	0.010000 	
1.054732 	0.141253 	1.522545 	0.010000 	
1.411842 	0.165083 	1.791652 	0.010000 	
1.074779 	0.155074 	1.460342 	0.010000 	
1.158822 	0.123502 	1.246777 	0.010000 	
1.383494 	0.174438 	2.517937 	0.010000 	
1.158763 	0.162003 	1.385971 	0.010000 	
1.247437 	0.170169 	1.225154 	0.010000 	
1.248799 	0.193692 	8.551518 	0.010000 	
1.241459 	0.175474 	1.567290 	0.010000 	
1.260886 	0.131704 	1.264513 	0.010000 	
1.151063 	0.154782 	1.304359 	0.010000 	
1.233133 	0.120856 	1.436617 	0.010000 	
1.081456 	0.155716 	1.526645 	0.010000 	
1.268184 	0.133741 	2.474474 	0.010000 	
1.289827 	0.177051 	1.332544 	0.010000 	
1.227351 	0.159614 	1.120343 	0.010000 	
1.104284 	0.171642 	1.430317 	0.010000 	
1.450446 	0.122982 	0.729267 	0.010000 	
1.443279 	0.184004 	1.461133 	0.010000 	
1.260931 	0.168272 	1.374168 	0.010000 	
1.457659 	0.143373 	1.727718 	0.010000 	
1.325798 	0.156503 	1.772659 	0.010000 	
1.152751 	0.146080 	2.317489 	0.010000 	
1.073612 	0.131127 	1.383235 	0.010000 	
1.253328 	0.132585 	1.529446 	0.010000 	
1.305447 	0.149116 	6.485665 	0.010000 	
1.458832 	0.122872 	1.059942 	0.010000 	
1.027928 	0.144599 	1.455443 	0.010000 	
1.195580 	0.153523 	1.929167 	0.010000 	
1.345317 	0.174891 	1.174600 	0.010000 	
1.217008 	0.174509 	1.858134 	0.010000 	
1.106001 	0.125597 	1.295171 	0.010000 	
1.246338 	0.153184 	4.451116 	0.010000 	
1.179047 	0.162741 	2.705173 	0.010000 	
1.201001 	0.120317 	1.051794 	0.010000 	
1.056519 	0.149351 	1.540367 	0.010000 	
1.260779 	0.130414 	1.055225 	0.010000 	
1.207452 	0.186330 	1.282464 	0.010000 	
1.305792 	0.126566 	2.051625 	0.010000 	
1.394147 	0.160597 	5.622405 	0.010000 	
1.047499 	0.165240 	1.563131 	0.010000 	
1.086953 	0.153523 	1.492486 	0.010000 	
1.210094 	0.140459 	1.970159 	0.010000 	
1.389275 	0.185083 	19.324005 	0.010000 	
1.117111 	0.169426 	1.461552 	0.010000 	
1.445870 	0.137209 	0.813298 	0.010000 	
1.172072 	0.174102 	1.315457 	0.010000 	
1.414391 	0.141487 	1.225472 	0.010000 	
1.293779 	0.152923 	1.055248 	0.010000 	
1.367793 	0.163066 	1.937003 	0.010000 	
0.784550 	0.164588 	1.678148 	0.000000 	
1.225679 	0.074808 	1.651447 	0.000000 	
1.433875 	0.159930 	0.795312 	0.016834 	
1.279654 	0.081649 	0.871661 	0.000000 	
1.205956 	0.160733 	1.334916 	0.012493 	
1.404262 	0.170371 	1.176164 	0.016138 	
1.250236 	0.151031 	0.935620 	0.012290 	
1.058354 	0.171056 	1.522061 	0.019305 	
1.008754 	0.125325 	1.512272 	0.000000 	
0.999005 	0.093228 	1.459013 	0.000000 	
1.239666 	0.138344 	1.310803 	0.013698 	
