param#0 	 param#1 	 dist 	  wgt 
1.255627 	0.136369 	0.891010 	0.010000 	
1.266181 	0.194254 	1.005600 	0.010000 	
1.251028 	0.176104 	4.442278 	0.010000 	
1.092773 	0.172646 	1.080769 	0.010000 	
1.255007 	0.193686 	1.596132 	0.010000 	
1.203189 	0.144836 	1.952011 	0.010000 	
1.268805 	0.168012 	1.321746 	0.010000 	
1.175536 	0.191833 	6.960281 	0.010000 	
1.048017 	0.139696 	1.219824 	0.010000 	
1.370013 	0.157487 	1.609542 	0.010000 	
0.974762 	0.139663 	1.304323 	0.010000 	
1.146769 	0.133661 	1.012330 	0.010000 	
1.220491 	0.140541 	1.668350 	0.010000 	
1.088300 	0.151966 	1.183039 	0.010000 	
1.032425 	0.153544 	1.164979 	0.010000 	
1.345534 	0.185834 	1.670056 	0.010000 	
1.148433 	0.158656 	1.269302 	0.010000 	
1.025841 	0.185168 	1.307428 	0.010000 	
1.087008 	0.143484 	2.084550 	0.010000 	
1.212736 	0.159359 	1.244807 	0.010000 	
1.149521 	0.193999 	1.282364 	0.010000 	
1.196014 	0.159246 	0.890013 	0.010000 	
1.304863 	0.122938 	1.576059 	0.010000 	
0.982121 	0.193197 	1.277332 	0.010000 	
0.964120 	0.153090 	1.090713 	0.010000 	
1.226921 	0.156288 	3.142737 	0.010000 	
1.334190 	0.127166 	0.560656 	0.010000 	
1.356846 	0.194947 	2.083612 	0.010000 	
1.023236 	0.155989 	1.478902 	0.010000 	
1.331626 	0.170139 	0.943586 	0.010000 	
0.970770 	0.182135 	1.450787 	0.010000 	
1.175123 	0.163214 	1.304378 	0.010000 	
1.241054 	0.128250 	0.943883 	0.010000 	
1.165130 	0.136112 	0.885518 	0.010000 	
1.217452 	0.177035 	3.730036 	0.010000 	
1.263663 	0.132909 	1.306822 	0.010000 	
1.077034 	0.147270 	1.860151 	0.010000 	
1.141382 	0.164190 	1.149421 	0.010000 	
1.226209 	0.146966 	0.785498 	0.010000 	
1.305807 	0.129592 	1.695216 	0.010000 	
1.045097 	0.172994 	1.318135 	0.010000 	
1.036947 	0.178738 	2.091395 	0.010000 	
1.282190 	0.182048 	1.319767 	0.010000 	
1.141491 	0.124337 	24.144378 	0.010000 	
1.257284 	0.129555 	0.874716 	0.010000 	
1.111173 	0.135982 	1.002352 	0.010000 	
1.041014 	0.134528 	1.066411 	0.010000 	
1.281887 	0.143180 	2.689197 	0.010000 	
1.338000 	0.181923 	1.633965 	0.010000 	
1.307031 	0.120344 	0.689485 	0.010000 	
1.221138 	0.144488 	0.861595 	0.010000 	
1.208578 	0.177403 	6.547792 	0.010000 	
1.058395 	0.158133 	1.260583 	0.010000 	
1.322928 	0.156910 	3.101398 	0.010000 	
1.180340 	0.167760 	1.584884 	0.010000 	
1.036096 	0.162955 	1.422868 	0.010000 	
1.099707 	0.136220 	1.019312 	0.010000 	
1.185108 	0.124597 	1.289909 	0.010000 	
1.120708 	0.159022 	1.055030 	0.010000 	
1.254649 	0.175049 	2.527739 	0.010000 	
1.033385 	0.157621 	1.220127 	0.010000 	
