param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
1.607392 	0.614753 	1.781373 	0.103203 	0.192841 	3.185139 	0.774047 	0.122658 	2.547421 	0.020000 	
0.361826 	0.251266 	1.427268 	0.121870 	1.957775 	4.829518 	0.440003 	0.128310 	3.803115 	0.020000 	
0.885275 	0.074747 	1.209177 	0.302520 	0.738384 	3.617546 	0.184805 	0.014566 	5.042276 	0.020000 	
0.511545 	0.059871 	1.102790 	0.309429 	1.697186 	3.030923 	0.809785 	0.051511 	4.803673 	0.020000 	
0.314612 	0.220274 	1.309201 	0.146845 	1.737468 	5.179044 	0.045491 	0.027277 	1.619452 	0.020000 	
1.430902 	0.042115 	1.937316 	0.309771 	0.426519 	3.688763 	0.246139 	0.007519 	6.682079 	0.020000 	
1.125238 	0.156475 	1.695663 	0.111945 	0.203719 	4.084003 	1.024657 	0.083895 	1.483938 	0.020000 	
0.587430 	0.062686 	1.760629 	0.167192 	0.791722 	4.469025 	0.519992 	0.239343 	1.273878 	0.020000 	
0.787875 	0.471571 	1.495350 	0.108912 	1.430774 	4.235259 	0.530459 	0.208596 	8.488476 	0.020000 	
0.346703 	0.865473 	1.341200 	0.145402 	0.289168 	3.695420 	0.031426 	0.029487 	1.051810 	0.020000 	
0.349383 	0.046934 	1.883364 	0.255927 	1.781207 	3.261604 	0.366004 	0.149519 	1.862489 	0.020000 	
0.211364 	0.662963 	1.798143 	0.140349 	1.111050 	3.830420 	0.962282 	0.115822 	1.500343 	0.020000 	
0.315860 	0.542760 	1.885973 	0.397308 	1.536901 	3.641558 	0.367996 	0.105208 	3.412310 	0.020000 	
1.867729 	0.146208 	1.738664 	0.126166 	1.111865 	3.918141 	0.986701 	0.174854 	4.779610 	0.020000 	
0.538734 	0.274335 	1.683187 	0.166954 	1.030859 	4.076002 	0.106083 	0.309710 	1.707638 	0.020000 	
0.345268 	0.158982 	1.765310 	0.152422 	1.866468 	3.976807 	0.339124 	0.025922 	2.670977 	0.020000 	
0.390287 	0.641265 	1.967154 	0.102150 	1.926537 	3.620716 	1.092392 	0.027944 	4.913046 	0.020000 	
0.448751 	0.398384 	1.991250 	0.162735 	0.730632 	4.608946 	0.048950 	0.074839 	1.327321 	0.020000 	
1.400693 	0.047021 	1.583285 	0.155557 	0.574638 	4.759589 	0.283478 	0.218775 	8.802762 	0.020000 	
1.461836 	0.189669 	1.264956 	0.122844 	1.221068 	3.424395 	0.330373 	0.134623 	4.707818 	0.020000 	
0.226342 	0.285108 	1.093935 	0.158867 	1.049400 	3.058550 	0.605715 	0.046329 	1.136780 	0.020000 	
0.154571 	0.075196 	0.966853 	0.190810 	0.458695 	3.244929 	0.482529 	0.072788 	1.027344 	0.020000 	
0.494539 	0.503602 	1.776032 	0.258513 	0.948073 	4.152195 	0.379152 	0.128457 	3.868500 	0.020000 	
0.081482 	0.533085 	1.996047 	0.346749 	1.361119 	4.662422 	0.058571 	0.096664 	1.044609 	0.020000 	
0.763780 	0.245329 	0.917140 	0.159159 	0.908129 	4.942205 	0.505510 	0.001349 	4.504573 	0.020000 	
0.556929 	0.058907 	1.893622 	0.119718 	1.067560 	4.293336 	0.847298 	0.190257 	2.218333 	0.020000 	
1.143162 	0.192353 	1.604710 	0.194589 	0.654991 	4.540044 	0.395850 	0.039023 	4.552540 	0.020000 	
0.297081 	0.597307 	1.271409 	0.142206 	1.477678 	3.792311 	0.491177 	0.059787 	3.141293 	0.020000 	
1.277688 	0.232709 	0.924578 	0.148018 	0.792464 	3.801123 	0.270009 	0.153337 	5.815916 	0.020000 	
1.269373 	0.286219 	1.758080 	0.107440 	1.735873 	3.472965 	0.888603 	0.208928 	2.690836 	0.020000 	
0.154639 	0.059231 	1.613285 	0.375838 	1.883269 	3.300022 	0.232799 	0.027545 	1.245705 	0.020000 	
2.511330 	0.103149 	1.974734 	0.301824 	0.182035 	3.841992 	0.279742 	0.105846 	9.750050 	0.020000 	
0.675645 	0.081803 	1.951773 	0.367147 	1.821354 	4.730519 	0.696672 	0.120709 	6.478099 	0.020000 	
0.815171 	0.135030 	1.620243 	0.398598 	0.492395 	3.215663 	0.053435 	0.003542 	3.449075 	0.020000 	
0.754092 	0.054597 	1.556444 	0.147200 	1.806021 	3.566608 	1.244875 	0.112710 	2.729803 	0.020000 	
1.339141 	0.204231 	1.699598 	0.153384 	1.312098 	4.471488 	0.778423 	0.066154 	7.425117 	0.020000 	
1.376960 	0.012582 	1.603587 	0.231095 	1.124731 	4.107026 	0.336949 	0.201481 	3.369147 	0.020000 	
0.911376 	0.184206 	1.730453 	0.217073 	0.781671 	3.271149 	0.374692 	0.160074 	5.655157 	0.020000 	
0.170425 	0.024675 	1.327211 	0.178598 	0.256625 	3.446154 	0.607064 	0.173480 	1.058438 	0.020000 	
1.137460 	0.776449 	1.768095 	0.143509 	0.704925 	4.553630 	0.430272 	0.040466 	8.391047 	0.020000 	
0.782478 	0.628464 	1.277341 	0.106072 	0.727458 	3.901589 	1.263328 	0.068377 	9.034848 	0.020000 	
0.345697 	0.078978 	1.211153 	0.231093 	1.407830 	5.550819 	0.007155 	0.069537 	2.038739 	0.020000 	
1.525531 	0.211346 	1.602303 	0.164821 	1.146871 	3.044096 	0.154531 	0.199601 	8.482657 	0.020000 	
0.687127 	0.043859 	1.827149 	0.210321 	1.821392 	4.150728 	0.080240 	0.043346 	7.676041 	0.020000 	
0.277055 	0.472747 	1.302548 	0.230481 	1.877338 	3.214403 	0.030385 	0.181000 	2.361386 	0.020000 	
0.333089 	0.010046 	1.474709 	0.135819 	1.111743 	3.607391 	1.279419 	0.029893 	1.209904 	0.020000 	
2.295827 	0.265250 	1.908335 	0.123682 	0.339318 	4.426082 	0.561349 	0.028300 	7.702708 	0.020000 	
0.384012 	0.842516 	1.776887 	0.109602 	0.759766 	3.761611 	0.002772 	0.118238 	2.272679 	0.020000 	
0.446165 	0.079421 	1.279093 	0.100568 	1.461641 	4.282189 	0.116946 	0.213274 	1.069268 	0.020000 	
0.028538 	0.039573 	1.030464 	0.286410 	0.832954 	3.280939 	0.802339 	0.010576 	1.076515 	0.020000 	
-0.588564 	0.386895 	1.100573 	0.088427 	1.439148 	4.119141 	-0.021547 	0.089248 	4.115946 	0.000000 	
0.304430 	-0.219006 	2.095881 	0.197489 	2.229670 	3.551779 	-0.707523 	-0.035631 	1.320827 	0.000000 	
0.584977 	-0.008659 	1.069532 	0.288966 	1.148502 	1.504267 	0.849383 	-0.036076 	3.460685 	0.000000 	
0.539431 	0.014432 	1.407116 	0.126309 	2.372039 	3.485847 	0.277497 	0.021168 	2.493048 	0.000000 	
0.465041 	-0.115843 	2.159614 	0.223107 	1.809099 	2.734096 	1.329778 	-0.057836 	2.065521 	0.000000 	
0.937562 	0.279801 	1.234858 	-0.019369 	1.756092 	4.185757 	0.434657 	0.092979 	2.002079 	0.000000 	
1.655594 	-0.229571 	1.521405 	0.015483 	0.704053 	3.961848 	1.057327 	0.007103 	1.022216 	0.000000 	
0.802575 	-0.263613 	2.185981 	-0.145805 	0.241629 	3.158629 	0.795433 	-0.034107 	3.194838 	0.000000 	
0.942809 	0.133075 	0.402708 	0.161608 	0.132597 	2.281111 	-0.370683 	0.114825 	2.176661 	0.000000 	
0.064941 	0.187231 	1.810035 	0.233899 	1.393326 	4.500134 	0.430638 	-0.037896 	1.023426 	0.000000 	
-0.220420 	0.139923 	1.426375 	0.284244 	2.137533 	2.773574 	0.413703 	0.145636 	5.051977 	0.000000 	
0.688286 	0.563685 	1.694318 	0.035162 	0.191908 	3.242799 	0.954571 	-0.062253 	1.139978 	0.000000 	
0.333926 	0.284817 	1.659617 	0.313737 	0.236190 	3.243590 	-0.623120 	0.188183 	1.004596 	0.000000 	
-0.039883 	0.092137 	1.006448 	0.123527 	1.869419 	5.238761 	0.416130 	0.094855 	1.238499 	0.000000 	
