param#0 	 param#1 	 dist 	  wgt 
0.087704 	0.219200 	3.547949 	0.010000 	
0.082212 	0.238172 	3.554558 	0.010000 	
0.083678 	0.206407 	2.491510 	0.010000 	
0.082260 	0.179158 	2.871944 	0.010000 	
0.084623 	0.189783 	1.244356 	0.010000 	
0.085596 	0.199140 	3.324015 	0.010000 	
0.083577 	0.164840 	1.809853 	0.010000 	
0.088989 	0.247042 	5.512800 	0.010000 	
0.082725 	0.218937 	1.945958 	0.010000 	
0.081670 	0.167218 	1.302486 	0.010000 	
0.088016 	0.198112 	1.533237 	0.010000 	
0.088732 	0.255689 	3.255589 	0.010000 	
0.081984 	0.173485 	1.242693 	0.010000 	
0.088733 	0.209103 	3.189012 	0.010000 	
0.081345 	0.211261 	2.805120 	0.010000 	
0.086152 	0.181835 	1.566302 	0.010000 	
0.081455 	0.211632 	1.356673 	0.010000 	
0.087869 	0.200827 	1.247114 	0.010000 	
0.086536 	0.205108 	2.624095 	0.010000 	
0.083647 	0.259786 	5.363083 	0.010000 	
0.085614 	0.169651 	1.957752 	0.010000 	
0.087634 	0.227226 	4.430357 	0.010000 	
0.085537 	0.207584 	3.811554 	0.010000 	
0.082021 	0.211550 	2.311237 	0.010000 	
0.086691 	0.212712 	2.336902 	0.010000 	
0.080627 	0.252575 	4.825301 	0.010000 	
0.085893 	0.187232 	1.842039 	0.010000 	
0.083529 	0.165115 	1.355317 	0.010000 	
0.085909 	0.247040 	4.402208 	0.010000 	
0.088025 	0.181304 	1.359081 	0.010000 	
0.081912 	0.178180 	1.346910 	0.010000 	
0.088064 	0.237848 	3.837514 	0.010000 	
0.086288 	0.213421 	3.680086 	0.010000 	
0.087013 	0.213053 	2.257685 	0.010000 	
0.087792 	0.207317 	2.450962 	0.010000 	
0.084604 	0.174998 	1.814689 	0.010000 	
0.082397 	0.222446 	2.987132 	0.010000 	
0.085280 	0.242539 	3.622130 	0.010000 	
0.086164 	0.217630 	2.528560 	0.010000 	
0.082881 	0.199373 	1.945762 	0.010000 	
