DateTime,Santee_Discharge,FashionValley_Discharge,Lindberch_Precipitation,Lindberch_AirTemperature,Lindberch_WindSpeed
1939-07-01,2.8316800000000004,,0.0,1.165,
1939-07-02,2.8316800000000004,,0.0,2.08,
1939-07-03,2.8316800000000004,,0.0,1.92,
1939-07-04,2.8316800000000004,,0.0,1.945,
1939-07-05,2.8316800000000004,,0.0,2.0,
1939-07-06,2.8316800000000004,,0.0,2.025,
1939-07-07,0.0,,0.0,2.0,
1939-07-08,0.0,,0.0,2.055,
1939-07-09,0.0,,0.0,2.135,
1939-07-10,0.0,,0.0,2.135,
1939-07-11,0.0,,0.0,2.195,
1939-07-12,0.0,,0.0,2.195,
1939-07-13,0.0,,0.0,2.0,
1939-07-14,0.0,,0.0,2.0,
1939-07-15,0.0,,0.0,1.865,
1939-07-16,0.0,,0.0,1.805,
1939-07-17,0.0,,0.0,1.81,
1939-07-18,0.0,,0.0,1.945,
1939-07-19,0.0,,0.0,1.945,
1939-07-20,0.0,,0.0,2.11,
1939-07-21,0.0,,0.0,2.11,
1939-07-22,0.0,,0.0,2.11,
1939-07-23,0.0,,0.0,2.11,
1939-07-24,0.0,,0.0,2.195,
1939-07-25,0.0,,0.0,2.275,
1939-07-26,0.0,,0.0,2.17,
1939-07-27,0.0,,0.0,2.085,
1939-07-28,0.0,,0.0,2.11,
1939-07-29,0.0,,0.0,2.11,
1939-07-30,0.0,,0.0,2.135,
1939-07-31,0.0,,0.0,2.165,
1939-08-01,2.8316800000000004,,0.0,2.11,
1939-08-02,2.8316800000000004,,0.0,2.195,
1939-08-03,2.8316800000000004,,0.0,2.36,
1939-08-04,2.8316800000000004,,0.0,2.22,
1939-08-05,2.8316800000000004,,0.0,2.225,
1939-08-06,2.8316800000000004,,0.0,2.11,
1939-08-07,0.0,,0.0,2.085,
1939-08-08,0.0,,0.0,2.08,
1939-08-09,0.0,,0.0,2.08,
1939-08-10,0.0,,0.0,2.055,
1939-08-11,0.0,,0.0,2.085,
1939-08-12,0.0,,0.0,2.165,
1939-08-13,0.0,,0.0,2.03,
1939-08-14,0.0,,0.0,2.11,
1939-08-15,0.0,,0.0,2.085,
1939-08-16,0.0,,0.0,2.055,
1939-08-17,0.0,,0.0,2.195,
1939-08-18,0.0,,0.0,2.22,
1939-08-19,0.0,,0.0,2.165,
1939-08-20,0.0,,0.0,2.165,
1939-08-21,0.0,,0.0,2.11,
1939-08-22,0.0,,0.0,2.14,
1939-08-23,0.0,,0.0,2.225,
1939-08-24,0.0,,0.0,2.14,
1939-08-25,0.0,,0.0,2.39,
1939-08-26,0.0,,0.0,2.305,
1939-08-27,0.0,,0.0,2.22,
1939-08-28,0.0,,0.0,2.25,
1939-08-29,0.0,,0.0,2.25,
1939-08-30,0.0,,0.0,2.17,
1939-08-31,0.0,,0.0,2.17,
1939-09-01,0.0,,0.0,2.165,
1939-09-02,0.0,,0.0,2.03,
1939-09-03,0.0,,0.0,2.03,
1939-09-04,0.0,,0.0,2.085,
1939-09-05,14.1584,,1.35,2.195,
1939-09-06,11.326720000000002,,1.5,2.0,
1939-09-07,8.49504,,0.64,2.11,
1939-09-08,5.663360000000001,,0.0,2.22,
1939-09-09,5.663360000000001,,0.2,2.305,
1939-09-10,5.663360000000001,,0.94,2.28,
1939-09-11,5.663360000000001,,0.08,2.305,
1939-09-12,5.663360000000001,,0.61,1.945,
1939-09-13,5.663360000000001,,0.0,1.945,
1939-09-14,5.663360000000001,,0.0,1.78,
1939-09-15,5.663360000000001,,0.0,2.165,
1939-09-16,5.663360000000001,,0.0,2.36,
1939-09-17,5.663360000000001,,0.0,2.64,
1939-09-18,5.663360000000001,,0.0,2.805,
1939-09-19,5.663360000000001,,0.0,2.89,
1939-09-20,5.663360000000001,,0.61,3.055,
1939-09-21,5.663360000000001,,0.0,3.275,
1939-09-22,5.663360000000001,,0.0,3.085,
1939-09-23,5.663360000000001,,0.0,2.775,
1939-09-24,5.663360000000001,,0.0,2.555,
1939-09-25,42.4752,,2.06,2.0,
1939-09-26,22.653440000000003,,0.0,2.055,
1939-09-27,11.326720000000002,,0.0,1.92,
1939-09-28,5.663360000000001,,0.0,1.945,
1939-09-29,5.663360000000001,,0.0,1.83,
1939-09-30,5.663360000000001,,0.0,1.86,
1939-10-01,5.663360000000001,,0.0,2.0,
1939-10-02,5.663360000000001,,0.0,1.97,
1939-10-03,5.663360000000001,,0.0,1.86,
1939-10-04,5.663360000000001,,0.0,1.615,
1939-10-05,5.663360000000001,,0.0,1.75,
1939-10-06,5.663360000000001,,0.23,1.89,
1939-10-07,11.326720000000002,,1.35,1.58,
1939-10-08,8.49504,,0.0,1.61,
1939-10-09,5.663360000000001,,0.0,1.945,
1939-10-10,2.8316800000000004,,0.0,2.225,
1939-10-11,2.8316800000000004,,0.0,2.22,
1939-10-12,2.8316800000000004,,0.0,2.44,
1939-10-13,2.8316800000000004,,0.0,2.39,
1939-10-14,2.8316800000000004,,0.0,2.39,
1939-10-15,2.8316800000000004,,0.0,2.28,
1939-10-16,2.8316800000000004,,0.0,1.975,
1939-10-17,2.8316800000000004,,0.0,1.97,
1939-10-18,2.8316800000000004,,0.0,1.805,
1939-10-19,2.8316800000000004,,0.0,1.89,
1939-10-20,2.8316800000000004,,0.0,1.86,
1939-10-21,5.663360000000001,,0.0,1.89,
1939-10-22,5.663360000000001,,0.0,1.775,
1939-10-23,5.663360000000001,,0.0,2.0,
1939-10-24,5.663360000000001,,0.0,1.915,
1939-10-25,5.663360000000001,,0.0,1.75,
1939-10-26,5.663360000000001,,0.0,1.67,
