DateTime,Altamaha_Discharge,Sapelo_Precipitation,MarshLanding_Precipitation,Sapelo_AirTemperature,MarshLanding_AirTemperature,MarshLanding_SolarRadiation,MarshLanding_RelativeHumidity,MarshLanding_WindDirection,MarshLanding_WindSpeed
1957-05-01,283000.0,7.37,,22.8,,,,,
1957-05-02,272246.0,2.29,,23.9,,,,,
1957-05-03,272246.0,37.59,,21.7,,,,,
1957-05-04,288660.0,33.78,,18.9,,,,,
1957-05-05,288660.0,0.51,,15.0,,,,,
1957-05-06,294320.0,0.0,,17.8,,,,,
1957-05-07,311300.0,0.0,,18.3,,,,,
1957-05-08,342430.0,0.0,,19.700000000000006,,,,,
1957-05-09,387710.0,0.0,,21.1,,,,,
1957-05-10,424500.0,0.0,,21.7,,,,,
1957-05-11,464120.0,42.67,,23.9,,,,,
1957-05-12,509400.0,1.27,,23.3,,,,,
1957-05-13,532040.0,0.0,,23.3,,,,,
1957-05-14,580150.0,0.0,,24.4,,,,,
1957-05-15,633920.0,0.0,,23.9,,,,,
1957-05-16,693350.0,0.25,,23.3,,,,,
1957-05-17,693350.0,1.02,,24.4,,,,,
1957-05-18,693350.0,7.62,,24.4,,,,,
1957-05-19,724480.0,1.78,,25.6,,,,,
1957-05-20,724480.0,0.03,,26.7,,,,,
1957-05-21,724480.0,0.0,,26.7,,,,,
1957-05-22,724480.0,0.0,,26.1,,,,,
1957-05-23,724480.0,0.03,,26.1,,,,,
1957-05-24,724480.0,0.0,,25.6,,,,,
1957-05-25,693350.0,5.33,,24.4,,,,,
1957-05-26,662220.0,1.78,,25.6,,,,,
1957-05-27,605620.0,0.0,,27.8,,,,,
1957-05-28,580150.0,0.0,,25.6,,,,,
1957-05-29,554680.0,0.51,,25.0,,,,,
1957-05-30,554680.0,2.79,,24.4,,,,,
1957-05-31,580150.0,0.25,,23.3,,,,,
1957-06-01,580150.0,0.0,,23.3,,,,,
1957-06-02,554680.0,3.05,,24.4,,,,,
1957-06-03,532040.0,1.78,,25.6,,,,,
1957-06-04,509400.0,8.13,,25.6,,,,,
1957-06-05,486760.0,0.0,,27.8,,,,,
1957-06-06,464120.0,1.27,,27.2,,,,,
1957-06-07,464120.0,0.51,,27.2,,,,,
1957-06-08,486760.0,10.41,,25.0,,,,,
1957-06-09,509400.0,63.75,,26.1,,,,,
1957-06-10,532040.0,0.51,,22.8,,,,,
1957-06-11,532040.0,0.0,,23.9,,,,,
1957-06-12,532040.0,0.0,,25.6,,,,,
1957-06-13,554680.0,0.0,,28.3,,,,,
1957-06-14,532040.0,0.0,,27.8,,,,,
1957-06-15,532040.0,0.0,,27.2,,,,,
1957-06-16,486760.0,0.0,,25.6,,,,,
