DateTime,NelsonWeir_Discharge,BigelowLower_Discharge,BigelowUpper_Discharge,HF001_Precipitation,HF001_AirTemperature,HF001_SolarRadiation,HF001_RelativeHumidity,HF001_WindDirection,HF001_WindSpeed,HF155_SWE,Shaler_SWE,LittleProspectHill_SWE,Hemlock_SWE,Shaler_SnowDepth,LittleProspectHill_SnowDepth,Hemlock_SnowDepth,HF006_SoilMoisture_trenched,HF006_SoilMoisture_control,HF001_SoilTemperature_10cm
2007-12-21,1.21,2.48,0.64,0.0,-5.5,1.7,93.0,65.0,1.4,,,,,,,,,,2.7
2007-12-22,1.19,2.46,0.64,0.0,-3.0,1.8,91.0,97.0,1.4,,,,,,,,,,2.6
2007-12-23,5.16,4.75,2.52,17.8,5.3,2.0,94.0,156.0,3.1,,,,,,,,,,2.6
2007-12-24,21.62,30.91,7.59,0.0,0.8,4.9,60.0,261.0,3.1,,,,,,,,,,2.4
2007-12-25,11.89,12.27,1.67,0.0,-1.2,4.6,75.0,268.0,1.7,,,,,,,,,,2.1
2007-12-26,8.37,7.31,1.29,0.0,-1.7,5.7,80.0,47.0,1.1,,,,,,,,,,1.9
2007-12-27,6.44,6.19,1.17,7.9,-0.5,0.9,95.0,59.0,1.2,,,,,,,,,,1.9
2007-12-28,6.36,5.94,1.4,0.0,0.7,5.8,91.0,235.0,1.2,,,,,,,,,,2.0
2007-12-29,10.13,10.47,2.65,5.3,2.2,4.6,86.0,214.0,2.0,,,,,,,,,,2.0
2007-12-30,9.04,10.86,1.78,2.3,0.0,4.2,73.0,258.0,1.3,,,,,,,,,,2.0
2007-12-31,7.14,8.3,1.42,11.4,-2.0,0.6,96.0,274.0,1.5,,,,,,,,,,2.0
2008-01-01,5.81,6.84,1.26,6.3,-3.6,0.7,93.0,85.0,1.5,,,,,,,,,,2.0
2008-01-02,4.93,6.19,1.17,0.0,-8.3,4.1,80.0,305.0,1.8,,,,,,,,,,2.1
2008-01-03,4.27,5.4,1.2,0.0,-16.8,8.4,64.0,308.0,1.5,,,,,,,,,,2.1
2008-01-04,3.85,5.26,1.25,0.0,-10.8,5.8,71.0,244.0,1.4,,,,,,,,,,2.0
2008-01-05,3.04,4.69,1.2,0.0,-2.6,5.2,58.0,207.0,1.2,,,,,,,,,,2.0
2008-01-06,2.9,4.7,1.09,0.0,1.9,3.9,81.0,223.0,1.0,,,,,,,,,,2.0
2008-01-07,3.54,5.16,1.25,0.0,6.0,3.6,83.0,202.0,1.2,,,,,,,,,,2.0
2008-01-08,7.27,8.09,2.65,0.0,10.5,6.8,81.0,199.0,1.9,,,,,,,,,,1.9
