DateTime,SaltCreek_Discharge,JWSTA_Precipitation,JWSTA_AirTemperature,JWSTA_SolarRadiation,JWSTA_RelativeHumidity_max,JWSTA_RelativeHumidity_min,JWSTA_WindDirection,JWSTA_WindSpeed,JWSTA_SoilTemperature_5cm,JWSTA_SoilTemperature_20cm
1995-08-31,566.336,0.0,29.0,18.15,69.6,19.0,192.0,2.2,30.83,
1995-09-01,19.538592,0.0,28.6,20.95,50.2,18.3,144.0,3.3,30.94,
1995-09-02,5.097024,0.0,26.54,24.25,56.3,13.1,147.0,2.6,30.61,
1995-09-03,3.681184,0.0,27.32,24.04,49.9,11.8,160.0,2.6,30.67,
1995-09-04,3.1148480000000003,0.0,28.41,23.31,35.8,11.8,182.0,2.3,31.0,
1995-09-05,3.398016,0.0,29.78,23.63,32.7,9.1,198.0,2.4,31.44,
1995-09-06,3.398016,0.0,29.44,22.8,29.2,8.1,194.0,2.0,31.83,
1995-09-07,3.1148480000000003,0.0,29.58,23.64,39.0,8.6,197.0,3.1,32.17,
1995-09-08,4.24752,0.0,28.14,21.72,60.8,19.3,168.0,3.0,32.22,
1995-09-09,13.308895999999999,12.95,25.17,20.14,97.2,24.2,199.0,2.6,31.72,
1995-09-10,79.28703999999998,19.56,24.3,17.75,96.2,39.7,161.0,2.3,28.83,
1995-09-11,161.40576000000001,6.6,25.26,21.28,95.6,37.9,192.0,2.5,27.11,
1995-09-12,24.635616,0.0,25.84,19.59,94.9,16.6,192.0,1.9,27.39,
1995-09-13,7.362367999999999,0.0,25.53,21.32,88.2,14.3,147.0,2.9,27.5,
1995-09-14,5.380192,0.0,23.17,11.8,91.5,34.5,153.0,3.7,27.06,
1995-09-15,36.811840000000004,25.65,18.66,3.51,97.1,88.5,240.0,2.2,23.44,
1995-09-16,87.78208000000002,0.0,21.8,14.53,95.7,60.0,198.0,1.7,22.39,
1995-09-17,27.750464,0.0,24.33,18.9,96.6,39.5,188.0,1.8,23.5,
1995-09-18,178.39584,1.52,24.69,20.54,94.4,35.0,182.0,2.8,25.22,
1995-09-19,311.4848,0.0,24.24,21.31,96.7,26.4,180.0,2.2,25.78,
1995-09-20,20.388096,0.0,25.48,20.98,94.3,33.6,179.0,2.6,26.33,
1995-09-21,45.30688000000001,0.0,22.85,21.31,62.3,28.0,163.0,4.7,26.78,
1995-09-22,368.1184,0.51,13.8,8.36,96.7,59.1,163.0,2.1,23.44,
1995-09-23,33.98016,0.0,20.17,21.52,98.4,38.1,178.0,2.9,22.28,
1995-09-24,9.344544,0.0,24.71,19.52,85.5,19.5,206.0,2.9,24.61,
1995-09-25,5.380192,0.0,23.55,20.98,84.4,16.0,202.0,2.3,25.28,
1995-09-26,4.5306880000000005,0.0,26.48,20.5,57.0,15.3,194.0,3.9,26.17,
1995-09-27,3.1148480000000003,0.0,26.02,20.59,66.0,15.0,195.0,2.5,26.78,
1995-09-28,161.40576000000001,10.41,21.15,8.32,97.0,29.0,190.0,2.4,25.22,
1995-09-29,263.34624,0.0,23.36,19.44,95.4,26.3,202.0,4.0,23.28,
1995-09-30,15.007904000000002,0.0,20.14,20.86,68.8,17.3,215.0,2.4,23.28,
1995-10-01,4.24752,0.0,21.07,20.17,63.8,23.6,195.0,2.3,23.22,
1995-10-02,3.398016,0.0,20.75,20.61,58.4,11.6,233.0,3.0,23.61,
1995-10-03,2.548512,0.0,20.47,20.15,51.2,15.4,193.0,2.5,22.89,
1995-10-04,2.265344,0.0,23.36,20.55,19.2,10.4,198.0,6.0,23.72,
1995-10-05,1.699008,0.0,15.51,20.35,20.2,13.6,226.0,3.1,22.72,
1995-10-06,1.699008,0.0,16.12,19.88,37.4,13.6,201.0,2.4,21.67,
1995-10-07,2.265344,0.0,19.22,19.4,48.6,14.1,198.0,2.3,21.67,
1995-10-08,2.548512,0.0,20.67,19.36,57.7,11.1,207.0,2.3,22.33,
1995-10-09,2.548512,0.0,20.37,15.79,36.8,11.3,192.0,2.2,22.0,
1995-10-10,2.548512,0.0,19.75,19.01,60.8,11.0,216.0,2.0,22.5,
1995-10-11,2.548512,0.0,20.37,19.03,29.1,10.9,199.0,2.7,22.22,
1995-10-12,2.548512,0.0,20.45,18.78,43.0,12.3,174.0,2.7,22.22,
1995-10-13,2.8316800000000004,0.0,20.52,18.23,38.1,11.6,183.0,2.5,22.61,
1995-10-14,2.8316800000000004,0.0,17.95,17.85,47.9,19.2,191.0,1.8,22.33,
1995-10-15,3.1148480000000003,0.0,19.85,17.84,66.3,12.6,195.0,1.9,22.06,
