DateTime,Middleton_Discharge,Ipswich_Discharge,Byfield_Discharge,PIE_Precipitation,PIE_AirTemperature,STAHQ_WindDirection,STAHQ_WindSpeed,STAHQ_VaporPressure
2000-03-27,2605.1456,8070.288,1302.5728,1.016,9.2,,83.0,0.53
2000-03-28,3426.3328,7957.0208,1557.424,33.02,9.7,,83.5,0.88
2000-03-29,4615.6384,8608.3072,2265.344,5.8420000000000005,8.7,,84.0,0.66
2000-03-30,4587.3216,9712.6624,2661.7792,0.0,6.8,,96.0,0.62
2000-03-31,4417.4208,10817.0176,2605.1456,0.0,5.0,,73.66666666666667,0.55
2000-04-01,4105.936,11241.7696,2321.9776,0.0,7.3,,51.33333333333334,0.56
2000-04-02,3851.0848,11213.4528,2038.8096,0.0,14.3,,29.0,0.73
2000-04-03,3539.6,10250.6816,1755.6416,0.762,8.1,,25.0,0.92
2000-04-04,3398.0159999999996,9429.4944,1585.7408,5.8420000000000005,12.0,,42.0,0.97
2000-04-05,3284.748800000001,8948.1088,1529.1072,0.508,6.9,,61.0,0.49
2000-04-06,2973.264,8495.04,1415.84,1.016,5.0,,80.0,0.55
2000-04-07,2775.0464,8240.1888,1359.2064,0.254,8.8,,77.0,0.7
2000-04-08,2605.1456,8041.9712,1359.2064,1.27,15.6,,73.0,0.98
2000-04-09,3086.5312,8664.9408,1783.9584,17.272000000000002,9.1,,81.33333333333333,0.75
2000-04-10,3369.6992,8778.208,2010.4928,0.0,5.8,,89.66666666666666,0.44
2000-04-11,2859.9968,8806.524800000001,1982.1760000000002,2.286,4.1,,98.0,0.51
2000-04-12,2690.0959999999995,8919.792,1840.592,0.762,5.0,,92.375,0.46
2000-04-13,2548.512,8636.624,1614.0576,0.254,3.8,,86.75,0.3
2000-04-14,2406.928,8155.2384,1472.4736,0.0,6.6,,81.125,0.49
2000-04-15,2293.6608,7532.2688,1330.8896,0.0,16.0,,75.5,0.97
2000-04-16,2180.3936,6994.2496,1274.256,0.0,13.5,,69.875,0.89
2000-04-17,2265.344,6541.1808,1189.3056,0.0,5.6,,64.25,0.42
2000-04-18,1953.8592,6031.4784,1104.3552,4.8260000000000005,5.5,,58.625,0.4
2000-04-19,2378.6112000000007,6031.4784,1132.672,11.938,5.0,,53.0,0.75
2000-04-20,2633.4624,6201.3792,1217.6224,0.0,8.7,,76.0,0.84
2000-04-21,2633.4624,6484.5472,1387.5232,38.1,6.1,,76.0,0.76
2000-04-22,8749.8912,13110.6784,3567.9168,73.152,5.5,,86.0,0.72
2000-04-23,11439.9872,33130.656,6031.4784,13.208,6.4,,79.6,0.86
2000-04-24,10647.1168,40493.024,6682.7648,0.254,7.3,,73.2,0.64
2000-04-25,9769.296,41059.36,6371.28,0.0,5.5,,66.8,0.58
2000-04-26,9401.1776,40493.024,5974.8448,19.812,2.2,,60.40000000000001,0.59
2000-04-27,10024.1472,40209.856,5833.2608,0.762,4.9,,54.0,0.68
2000-04-28,8919.792,38227.68,5521.776,0.0,6.2,,81.0,0.68
2000-04-29,7702.1696,33413.824,5012.0736,0.0,7.0,,84.0,0.78
2000-04-30,6739.3984,27155.8112,4474.0544,0.508,9.8,,87.0,0.49
2000-05-01,5833.2608,21775.6192,3907.7184,0.0,10.3,,90.0,0.65
2000-05-02,5351.8752,18490.8704,3426.3328,4.064,11.5,,91.75,0.72
2000-05-03,4927.1232,16253.8432,3001.5808,0.0,9.5,,93.5,0.63
