DateTime,ShaleHill_Discharge,ShaleHill_Precipitation,SSH51_AirTemperature,STAHQ_WindDirection,STAHQ_WindSpeed,STAHQ_VaporPressure
2007-01-01,1.8972278485082283,8.8,0.0,116.2,7.6,0.49
2007-01-02,2.367145704732511,0.0,0.0,336.4,80.27,0.48
2007-01-03,1.8563657407407368,0.1,0.0,263.3,48.9,0.47
2007-01-04,1.8563657407407368,0.0,0.0,294.8,36.12,0.53
2007-01-05,2.084543788580247,15.6,0.0,115.5,29.64,0.57
2007-01-06,4.720011895576146,2.7,0.0,313.6,68.08,0.74
2007-01-07,5.178742283950627,17.2,0.0,265.2,90.89,0.74
2007-01-08,14.508779417438273,7.4,0.0,60.9,58.92,0.57
2007-01-09,7.654726080246933,0.1,0.0,31.3,80.18,0.6
2007-01-10,3.625720164609061,0.5,0.0,179.7,90.2,0.27
2007-01-11,2.438663837448559,0.0,0.0,135.0,67.05,0.27
2007-01-12,1.8800524048353884,0.5,0.0,34.7,29.55,0.49
2007-01-13,2.0042936599794205,6.6,0.0,118.8,62.64,0.52
2007-01-14,1.6807854295267477,6.7,0.0,125.1,29.89,0.56
2007-01-15,3.876014338991773,8.1,0.0,95.6,32.49,0.49
2007-01-16,6.30232365612141,0.1,0.0,222.3,33.09333333333333,0.18
2007-01-17,3.58800073945474,0.0,0.0,42.0,33.696666666666665,0.12
2007-01-18,2.7390046296296364,0.0,0.0,276.4,34.3,0.22
2007-01-19,2.7078623328189333,0.0,0.0,249.1,51.06,0.36
2007-01-20,1.8625932355967043,0.2,0.0,263.4,44.15,0.22
2007-01-21,1.2568070023148168,0.8,0.0,274.6,37.24,0.19
2007-01-22,1.8312130272633709,0.8,0.0,333.8,30.33,0.31
2007-01-23,1.3926271540637878,0.0,0.0,145.7,46.57,0.36
2007-01-24,1.2675853587962966,0.2,0.0,306.8,59.88,0.17
2007-01-25,1.7939629951131648,0.6,0.0,28.0,54.69333333333334,0.15
2007-01-26,1.4130497685185186,0.2,0.0,331.0,49.50666666666667,0.08
2007-01-27,1.4964361496913574,0.1,0.0,213.0,44.32,0.2
2007-01-28,1.8530430169753047,0.4,0.0,325.5,55.04,0.34
2007-01-29,1.2759066358024722,0.0,0.0,275.4,76.12,0.2
2007-01-30,1.1776427469135806,1.7,0.0,132.2,58.06,0.19
2007-01-31,0.9443287037037048,0.0,0.0,257.1,50.28,0.25
2007-02-01,0.9443287037037048,0.0,0.0,294.0,54.95,0.32
2007-02-02,1.1232028034979449,2.6,0.0,78.2,27.13,0.42
2007-02-03,1.0843171296296297,0.1,0.0,258.5,69.47,0.29
2007-02-04,0.9648461612654312,0.0,0.0,24.0,83.72,0.14
2007-02-05,1.2196437757201677,0.0,0.0,238.8,90.89,0.14
2007-02-06,1.2243055555555584,0.0,0.0,252.0,97.03,0.19
2007-02-07,1.2243055555555584,0.0,0.0,336.7,77.33,0.15
2007-02-08,1.2243055555555584,0.0,0.0,286.9,78.71,0.22
2007-02-09,1.2243055555555584,0.0,0.0,222.0,78.06,0.19
2007-02-10,1.2243055555555584,0.0,0.0,20.9,77.41,0.24
2007-02-11,1.2243055555555584,0.0,0.0,5.7,73.18,0.3
2007-02-12,1.2243055555555584,0.0,0.0,8.8,78.02000000000002,0.17
2007-02-13,1.2243055555555584,18.5,0.0,195.6,82.86,0.1
2007-02-14,1.2243055555555584,14.1,0.0,328.0,87.7,0.27
2007-02-15,1.2243055555555584,0.0,0.0,195.4,90.52,0.18
2007-02-16,1.2243055555555584,0.0,0.0,314.7,93.34,0.18
2007-02-17,1.2243055555555584,0.1,0.0,223.6,96.16,0.36
2007-02-18,1.2243055555555584,0.1,0.0,233.5,73.79,0.27
2007-02-19,1.07160574202675,0.0,0.0,235.6,47.61,0.13
2007-02-20,2.481026556069959,1.0,0.0,277.5,21.43,0.25
2007-02-21,30.833121945730433,0.1,0.0,1.9,38.84,0.33
2007-02-22,1.2521412037037067,1.4,0.0,352.5,56.25,0.41
2007-02-23,1.0298771862139926,0.0,0.0,280.7,57.395,0.26
2007-02-24,0.8699966242283976,0.0,0.0,70.9,58.54,0.2
2007-02-25,0.7940176504629631,9.4,0.0,121.1,59.685,0.41
2007-02-26,0.7741970486111125,1.3,0.0,254.3,60.83,0.42
2007-02-27,0.606027359825103,0.2,0.0,170.4,68.34,0.41
2007-02-28,0.4588557741769546,0.0,0.0,315.0,80.01,0.21
2007-03-01,0.4435916602366256,5.3,0.0,160.1,62.55,0.31
2007-03-02,5.701922582304532,14.5,0.0,287.8,95.9,0.53
2007-03-03,7.684949684927995,0.1,0.0,273.8,44.58,0.47
2007-03-04,4.441038933899174,0.2,0.0,108.7,84.93,0.58
2007-03-05,3.6555917245370426,0.3,0.0,55.6,96.34,0.26
2007-03-06,2.1015416023662508,0.0,0.0,236.4,94.18,0.07
2007-03-07,1.8563657407407368,6.3,0.0,281.8,92.02,0.17
2007-03-08,1.7334611304012315,0.0,0.0,20.5,90.68,0.07
2007-03-09,1.2243055555555584,0.0,0.0,221.8,89.34,0.22
2007-03-10,1.3823165830761308,2.8,0.0,245.6,36.03,0.49
2007-03-11,1.5447177211934136,0.1,0.0,16.7,63.76,0.6
2007-03-12,2.1277874228395075,0.0,0.0,282.3,68.0,0.71
2007-03-13,3.452225597993829,0.0,0.0,255.4,47.26,0.81
2007-03-14,5.361129597479437,1.6,0.0,276.4,46.57,1.07
2007-03-15,7.505127154063784,11.5,0.0,29.7,64.15,0.31
2007-03-16,7.356046649948567,21.0,0.0,320.2,81.73,0.42
2007-03-17,4.6761204346707865,0.1,0.0,43.4,83.51,0.35
2007-03-18,2.984517264660504,0.0,0.0,261.7,85.29,0.2
2007-03-19,2.5039102687757167,15.2,0.0,107.0,87.07,0.47
2007-03-20,4.492530703446508,0.1,0.0,19.5,88.85,0.23
