param#0 	 param#1 	 dist 	  wgt 
0.318691 	0.093782 	0.978009 	0.010000 	
0.404591 	0.127600 	1.469814 	0.010000 	
0.395107 	0.089562 	0.911669 	0.010000 	
0.405708 	0.121881 	1.237529 	0.010000 	
0.293383 	0.113576 	1.082895 	0.010000 	
0.318918 	0.087375 	0.764311 	0.010000 	
0.404131 	0.113409 	1.310578 	0.010000 	
0.402921 	0.104699 	1.447759 	0.010000 	
0.316060 	0.122823 	0.934890 	0.010000 	
0.330807 	0.121702 	1.086356 	0.010000 	
0.293771 	0.090788 	0.869602 	0.010000 	
0.300116 	0.110458 	0.866509 	0.010000 	
0.337695 	0.120146 	1.128556 	0.010000 	
0.328312 	0.119832 	1.123407 	0.010000 	
0.309274 	0.121274 	1.098453 	0.010000 	
0.374148 	0.093109 	0.951974 	0.010000 	
0.406573 	0.087973 	0.848846 	0.010000 	
0.312492 	0.129025 	1.793274 	0.010000 	
0.347686 	0.113231 	1.057825 	0.010000 	
0.336188 	0.096664 	0.868457 	0.010000 	
0.349342 	0.117493 	0.854494 	0.010000 	
0.356523 	0.097864 	0.922101 	0.010000 	
0.319528 	0.108476 	1.076188 	0.010000 	
0.305031 	0.125508 	1.163512 	0.010000 	
0.318793 	0.128023 	1.175682 	0.010000 	
0.409472 	0.091519 	0.841252 	0.010000 	
0.415765 	0.127173 	1.757158 	0.010000 	
0.352833 	0.127037 	1.531980 	0.010000 	
0.366185 	0.121864 	1.158793 	0.010000 	
0.347213 	0.102209 	0.833097 	0.010000 	
0.392984 	0.097308 	1.103103 	0.010000 	
0.308086 	0.090721 	0.907806 	0.010000 	
0.310369 	0.126021 	1.192272 	0.010000 	
0.332745 	0.119701 	1.269984 	0.010000 	
0.343887 	0.090422 	0.794690 	0.010000 	
0.310530 	0.127452 	1.121074 	0.010000 	
0.356626 	0.114586 	1.304224 	0.010000 	
0.393996 	0.126046 	1.800705 	0.010000 	
0.307125 	0.121432 	1.051355 	0.010000 	
0.368884 	0.088310 	0.833473 	0.010000 	
0.367941 	0.115364 	1.450168 	0.010000 	
0.292175 	0.081252 	0.862052 	0.010000 	
0.312838 	0.081872 	0.757540 	0.010000 	
0.415964 	0.091723 	1.309553 	0.010000 	
0.332511 	0.122325 	1.044690 	0.010000 	
0.295951 	0.112338 	1.247326 	0.010000 	
0.410330 	0.082393 	0.973371 	0.010000 	
0.370835 	0.091467 	0.868178 	0.010000 	
0.412104 	0.121574 	1.693628 	0.010000 	
0.298011 	0.096117 	1.093526 	0.010000 	
0.309778 	0.094365 	0.854305 	0.010000 	
0.382630 	0.118882 	1.781217 	0.010000 	
0.308532 	0.094243 	0.785276 	0.010000 	
0.331329 	0.091237 	0.971335 	0.010000 	
0.382437 	0.092892 	0.972103 	0.010000 	
0.372913 	0.081832 	0.858513 	0.010000 	
0.374019 	0.125957 	1.750707 	0.010000 	
0.333969 	0.089531 	0.897079 	0.010000 	
0.298436 	0.109268 	0.982291 	0.010000 	
0.367493 	0.111585 	1.159768 	0.010000 	
0.326635 	0.128090 	1.409483 	0.010000 	
0.340143 	0.095725 	0.784477 	0.010000 	
0.314766 	0.123914 	1.105444 	0.010000 	
0.349391 	0.114201 	1.162911 	0.010000 	
0.335619 	0.129167 	1.080432 	0.010000 	
0.295543 	0.091470 	0.842978 	0.010000 	
0.330286 	0.129195 	1.371563 	0.010000 	
0.302243 	0.089108 	0.945328 	0.010000 	
0.394198 	0.108317 	1.209919 	0.010000 	
0.306993 	0.122816 	1.202578 	0.010000 	
0.388393 	0.095327 	0.858559 	0.010000 	
0.407720 	0.087275 	0.684420 	0.010000 	
0.409462 	0.119632 	1.569946 	0.010000 	
0.297765 	0.082719 	0.699146 	0.010000 	
0.387204 	0.101818 	1.015724 	0.010000 	
0.317772 	0.088673 	0.827082 	0.010000 	
0.348881 	0.108716 	1.034684 	0.010000 	
0.352864 	0.104402 	1.189154 	0.010000 	
0.410698 	0.098214 	0.993784 	0.010000 	
0.370365 	0.116706 	0.952318 	0.010000 	
0.364018 	0.100205 	0.967457 	0.010000 	
0.304822 	0.095327 	0.951513 	0.010000 	
0.409896 	0.113266 	1.844696 	0.010000 	
0.390711 	0.099830 	1.106416 	0.010000 	
0.415654 	0.106505 	1.336798 	0.010000 	
0.335284 	0.113822 	1.080916 	0.010000 	
0.347372 	0.122022 	1.174139 	0.010000 	
0.385742 	0.110226 	1.299305 	0.010000 	
0.391136 	0.117210 	1.117820 	0.010000 	
0.352221 	0.125866 	1.306326 	0.010000 	
0.379717 	0.085336 	0.885259 	0.010000 	
0.318863 	0.117032 	0.994866 	0.010000 	
0.374410 	0.093121 	0.824076 	0.010000 	
0.350305 	0.101629 	0.846744 	0.010000 	
0.344863 	0.120245 	1.261529 	0.010000 	
0.386891 	0.107870 	1.179385 	0.010000 	
0.398357 	0.102282 	0.922252 	0.010000 	
0.357388 	0.097246 	0.929794 	0.010000 	
0.361322 	0.089027 	0.860187 	0.010000 	
0.364745 	0.118209 	1.566225 	0.010000 	
0.411473 	0.145674 	1.930131 	0.000000 	
0.507853 	0.067203 	0.835177 	0.000000 	
0.232916 	0.063028 	0.746635 	0.000000 	
0.268400 	0.123065 	1.013862 	0.000000 	
0.339810 	0.155212 	1.710638 	0.000000 	
0.412562 	0.099629 	1.272897 	0.023689 	
0.440087 	0.068209 	0.777379 	0.000000 	
0.345836 	0.119425 	1.302700 	0.016991 	
0.340016 	0.089166 	0.926702 	0.020137 	
0.476779 	0.133806 	1.720629 	0.000000 	
0.344803 	0.090924 	0.869276 	0.019073 	
0.230322 	0.109401 	0.981472 	0.000000 	
0.473260 	0.100794 	1.314984 	0.000000 	
0.397520 	0.097155 	1.109759 	0.020630 	
0.384447 	0.103602 	0.972845 	0.017473 	
0.455828 	0.082715 	1.042129 	0.000000 	
0.424653 	0.121804 	1.282688 	0.000000 	
0.364336 	0.069901 	0.664283 	0.000000 	
0.484900 	0.068635 	0.733199 	0.000000 	
0.402923 	0.098196 	1.024182 	0.021484 	
0.386669 	0.081462 	0.930814 	0.028309 	
0.411049 	0.120231 	1.191751 	0.025682 	
0.283140 	0.062745 	0.696650 	0.000000 	
0.317059 	0.109432 	0.842660 	0.017690 	
0.475730 	0.115239 	1.935550 	0.000000 	
0.395807 	0.120287 	1.228521 	0.021562 	
0.338609 	0.120099 	1.126523 	0.017390 	
0.460746 	0.110472 	1.463690 	0.000000 	
0.307787 	0.162468 	2.005733 	0.000000 	
0.329579 	0.100179 	0.991329 	0.017114 	
0.313423 	0.142813 	1.214032 	0.000000 	
0.360979 	0.091878 	0.823758 	0.018631 	
0.266968 	0.099377 	0.937729 	0.000000 	
0.316929 	0.158767 	1.926690 	0.000000 	
0.312790 	0.129654 	1.221063 	0.024933 	
0.416495 	0.105559 	1.080524 	0.000000 	
0.361986 	0.095781 	0.976492 	0.017303 	
0.268378 	0.095316 	0.824377 	0.000000 	
0.287416 	0.113726 	1.141852 	0.000000 	
0.284260 	0.112999 	0.989662 	0.000000 	
0.326621 	0.087067 	0.647451 	0.022522 	
0.335724 	0.089281 	0.812270 	0.020348 	
0.375514 	0.116292 	1.234754 	0.017350 	
0.262607 	0.078790 	0.721479 	0.000000 	
0.471904 	0.071568 	0.755659 	0.000000 	
0.489666 	0.102205 	2.149588 	0.000000 	
0.296424 	0.126069 	0.851115 	0.026732 	
0.311041 	0.099359 	0.901082 	0.019641 	
0.301598 	0.125481 	1.607478 	0.024803 	
0.237258 	0.073408 	0.763453 	0.000000 	
0.296069 	0.082226 	0.769504 	0.034203 	
0.296026 	0.102834 	1.065484 	0.022319 	
0.319668 	0.071186 	0.701761 	0.000000 	
0.426639 	0.078145 	1.104492 	0.000000 	
0.313389 	0.141246 	1.304247 	0.000000 	
0.455023 	0.081676 	0.972241 	0.000000 	
0.387930 	0.108111 	1.192612 	0.017764 	
0.361853 	0.091065 	1.022082 	0.019006 	
0.362838 	0.123293 	1.167848 	0.018610 	
0.374072 	0.086314 	0.805936 	0.022385 	
0.258275 	0.141813 	1.146296 	0.000000 	
0.390794 	0.083160 	0.709323 	0.027404 	
0.316884 	0.122782 	1.096518 	0.020314 	
0.328506 	0.127566 	1.068459 	0.021238 	
0.438148 	0.125750 	1.425941 	0.000000 	
0.529610 	0.109444 	1.981511 	0.000000 	
0.268620 	0.080067 	0.773652 	0.000000 	
0.227722 	0.088050 	0.987923 	0.000000 	
0.355715 	0.122111 	1.569297 	0.017872 	
0.358409 	0.103532 	0.913159 	0.015773 	
0.243672 	0.071349 	0.676374 	0.000000 	
0.417648 	0.088667 	0.889590 	0.000000 	
0.274578 	0.096823 	0.751931 	0.000000 	
0.401748 	0.085310 	0.939591 	0.028106 	
0.303408 	0.103657 	0.789830 	0.020367 	
0.322042 	0.099181 	1.081296 	0.018075 	
0.383517 	0.089450 	1.134893 	0.021531 	
0.350945 	0.113750 	1.017692 	0.015851 	
0.322778 	0.084513 	0.720292 	0.024912 	
0.204332 	0.091974 	0.877431 	0.000000 	
0.265467 	0.100667 	0.931297 	0.000000 	
0.398961 	0.079221 	0.921673 	0.000000 	
0.364735 	0.108660 	0.967354 	0.015775 	
0.272191 	0.128191 	1.337986 	0.000000 	
0.358601 	0.098540 	0.870817 	0.016533 	
0.351725 	0.072481 	0.703822 	0.000000 	
0.342752 	0.152678 	1.932719 	0.000000 	
0.431524 	0.077676 	0.831914 	0.000000 	
0.419345 	0.052037 	0.648371 	0.000000 	
0.274379 	0.078984 	0.771086 	0.000000 	
0.327447 	0.141278 	1.294410 	0.000000 	
0.313394 	0.136459 	1.086609 	0.000000 	
0.407154 	0.105178 	1.126547 	0.021431 	
0.352522 	0.162262 	1.818436 	0.000000 	
0.383523 	0.080074 	0.859921 	0.029292 	
0.302543 	0.083934 	0.706281 	0.030018 	
0.350860 	0.089558 	0.898101 	0.019591 	
0.288259 	0.123549 	0.957133 	0.000000 	
0.414474 	0.116437 	2.187631 	0.025212 	
0.362294 	0.097198 	0.813022 	0.016934 	
