param#0 	 param#1 	 dist 	  wgt 
0.683706 	0.515297 	6.198818 	0.010000 	
0.719187 	0.586736 	2.969666 	0.010000 	
0.774405 	0.465450 	1.777931 	0.010000 	
0.719131 	0.645754 	2.842681 	0.010000 	
0.796779 	0.612454 	6.199077 	0.010000 	
0.740316 	0.481958 	2.495501 	0.010000 	
0.818580 	0.460124 	1.794918 	0.010000 	
0.668829 	0.415348 	4.512021 	0.010000 	
0.700740 	0.531597 	2.775542 	0.010000 	
0.692641 	0.541288 	11.068333 	0.010000 	
0.650918 	0.595398 	2.792740 	0.010000 	
0.665926 	0.583001 	1.775209 	0.010000 	
0.784388 	0.463671 	1.802924 	0.010000 	
0.669042 	0.445976 	16.093662 	0.010000 	
0.829143 	0.483862 	2.988016 	0.010000 	
0.743654 	0.510873 	1.974346 	0.010000 	
0.672507 	0.544613 	96.389668 	0.010000 	
0.636608 	0.491422 	1.621580 	0.010000 	
0.637470 	0.469149 	1.777076 	0.010000 	
0.857394 	0.458256 	3.274907 	0.010000 	
0.735908 	0.527116 	2.634478 	0.010000 	
0.812312 	0.561708 	5.867260 	0.010000 	
0.787635 	0.520989 	4.685935 	0.010000 	
0.781432 	0.546297 	5.007394 	0.010000 	
0.763270 	0.569687 	3.406824 	0.010000 	
0.728069 	0.525288 	1.747331 	0.010000 	
0.771727 	0.552501 	8.348177 	0.010000 	
0.897100 	0.490589 	3.079794 	0.010000 	
0.748597 	0.452250 	8.315114 	0.010000 	
0.710657 	0.552602 	3.417506 	0.010000 	
0.804274 	0.404393 	2.027913 	0.010000 	
0.778117 	0.472278 	2.384042 	0.010000 	
0.658291 	0.600340 	1.606767 	0.010000 	
0.781761 	0.536706 	6.618701 	0.010000 	
0.809581 	0.645873 	4.735073 	0.010000 	
0.732836 	0.647556 	4.053647 	0.010000 	
0.879201 	0.649161 	5.328095 	0.010000 	
0.855599 	0.640922 	5.865888 	0.010000 	
0.773455 	0.475979 	1.952111 	0.010000 	
0.823121 	0.517365 	2.149884 	0.010000 	
0.862938 	0.416080 	1.485882 	0.010000 	
0.742126 	0.637411 	8.470993 	0.010000 	
0.812270 	0.432578 	1.615734 	0.010000 	
0.716353 	0.543007 	81.207676 	0.010000 	
0.741007 	0.403978 	1.726875 	0.010000 	
0.742611 	0.621411 	2.970906 	0.010000 	
0.723592 	0.425682 	2.130523 	0.010000 	
0.844056 	0.433522 	2.000045 	0.010000 	
0.858566 	0.544529 	2.948075 	0.010000 	
0.829578 	0.417477 	2.531642 	0.010000 	
0.741249 	0.607752 	4.286786 	0.010000 	
0.713055 	0.471748 	4.717042 	0.010000 	
0.661165 	0.489872 	1.355021 	0.010000 	
0.818901 	0.652709 	5.094707 	0.010000 	
0.760378 	0.473109 	5.250407 	0.010000 	
0.839100 	0.593286 	5.579650 	0.010000 	
0.720214 	0.639973 	8.800297 	0.010000 	
0.808955 	0.453293 	2.658185 	0.010000 	
0.803471 	0.608406 	2.721010 	0.010000 	
0.889251 	0.620152 	6.185483 	0.010000 	
0.695983 	0.645727 	6.568047 	0.010000 	
0.792874 	0.448486 	1.709285 	0.010000 	
0.770066 	0.588032 	3.067942 	0.010000 	
0.843012 	0.564285 	4.720741 	0.010000 	
0.815169 	0.512900 	2.149626 	0.010000 	
0.709750 	0.639688 	2.031877 	0.010000 	
0.881521 	0.578086 	3.040361 	0.010000 	
0.767137 	0.556286 	2.216845 	0.010000 	
0.689360 	0.464201 	10.380150 	0.010000 	
0.830121 	0.420663 	2.050779 	0.010000 	
0.847251 	0.555756 	3.686253 	0.010000 	
0.871081 	0.580868 	3.475874 	0.010000 	
0.866272 	0.466973 	3.054955 	0.010000 	
0.688608 	0.439371 	1.482959 	0.010000 	
0.758709 	0.471391 	3.009984 	0.010000 	
0.898945 	0.546354 	10.653160 	0.010000 	
0.691835 	0.462868 	36.140027 	0.010000 	
0.639768 	0.482084 	1.980520 	0.010000 	
0.772172 	0.438003 	2.577607 	0.010000 	
0.705994 	0.527704 	3.945572 	0.010000 	
0.731518 	0.518596 	3.010610 	0.010000 	
0.656199 	0.440466 	2.548129 	0.010000 	
0.893899 	0.453389 	2.882536 	0.010000 	
0.742941 	0.556375 	2.739155 	0.010000 	
0.792666 	0.448507 	1.665236 	0.010000 	
0.873972 	0.622556 	2.588373 	0.010000 	
0.630044 	0.448735 	1.752380 	0.010000 	
0.747096 	0.640343 	4.436054 	0.010000 	
0.764829 	0.463523 	6.695209 	0.010000 	
